Samples	SBS96A
TCGA-05-4244	262
TCGA-05-4249	399
TCGA-05-4250	441
TCGA-05-4382	2113
TCGA-05-4384	170
TCGA-05-4389	298
TCGA-05-4390	711
TCGA-05-4395	352
TCGA-05-4396	1929
TCGA-05-4397	1025
TCGA-05-4398	951
TCGA-05-4402	157
TCGA-05-4403	172
TCGA-05-4405	498
TCGA-05-4410	1401
TCGA-05-4415	253
TCGA-05-4417	383
TCGA-05-4418	339
TCGA-05-4420	376
TCGA-05-4422	55
TCGA-05-4424	932
TCGA-05-4425	55
TCGA-05-4426	57
TCGA-05-4427	1286
TCGA-05-4430	359
TCGA-05-4432	777
TCGA-05-4433	45
TCGA-05-4434	59
TCGA-05-5420	117
TCGA-05-5423	188
TCGA-05-5425	730
TCGA-05-5428	478
TCGA-05-5429	47
TCGA-05-5715	151
TCGA-35-3615	148
TCGA-35-4122	416
TCGA-35-4123	381
TCGA-35-5375	529
TCGA-38-4625	769
TCGA-38-4626	333
TCGA-38-4627	36
TCGA-38-4628	151
TCGA-38-4629	358
TCGA-38-4630	165
TCGA-38-4631	950
TCGA-38-4632	669
TCGA-38-6178	93
TCGA-38-7271	117
TCGA-38-A44F	19
TCGA-44-2655	231
TCGA-44-2656	2137
TCGA-44-2657	1045
TCGA-44-2659	1018
TCGA-44-2661	102
TCGA-44-2662	540
TCGA-44-2665	127
TCGA-44-2666	86
TCGA-44-2668	889
TCGA-44-3396	488
TCGA-44-3398	506
TCGA-44-3918	2361
TCGA-44-3919	136
TCGA-44-4112	1223
TCGA-44-5643	330
TCGA-44-5644	2401
TCGA-44-5645	89
TCGA-44-6144	563
TCGA-44-6145	790
TCGA-44-6146	96
TCGA-44-6147	328
TCGA-44-6148	17
TCGA-44-6774	784
TCGA-44-6775	170
TCGA-44-6776	523
TCGA-44-6777	953
TCGA-44-6778	982
TCGA-44-6779	128
TCGA-44-7659	369
TCGA-44-7660	944
TCGA-44-7661	768
TCGA-44-7662	1436
TCGA-44-7667	1157
TCGA-44-7669	1128
TCGA-44-7670	2745
TCGA-44-7671	582
TCGA-44-7672	409
TCGA-44-8117	932
TCGA-44-8119	775
TCGA-44-8120	752
TCGA-44-A479	380
TCGA-44-A47A	272
TCGA-44-A47B	61
TCGA-44-A47G	101
TCGA-44-A4SS	594
TCGA-44-A4SU	189
TCGA-49-4486	220
TCGA-49-4487	458
TCGA-49-4488	368
TCGA-49-4490	72
TCGA-49-4494	243
TCGA-49-4501	75
TCGA-49-4505	274
TCGA-49-4506	144
TCGA-49-4507	256
TCGA-49-4510	82
TCGA-49-4512	56
TCGA-49-4514	425
TCGA-49-6742	356
TCGA-49-6743	981
TCGA-49-6744	299
TCGA-49-6745	176
TCGA-49-6761	419
TCGA-49-6767	616
TCGA-49-AAQV	88
TCGA-49-AAR0	177
TCGA-49-AAR2	488
TCGA-49-AAR3	171
TCGA-49-AAR4	712
TCGA-49-AAR9	812
TCGA-49-AARE	1677
TCGA-49-AARN	934
TCGA-49-AARO	738
TCGA-49-AARQ	893
TCGA-49-AARR	3
TCGA-4B-A93V	171
TCGA-50-5044	182
TCGA-50-5045	373
TCGA-50-5049	1010
TCGA-50-5051	145
TCGA-50-5055	22
TCGA-50-5066	806
TCGA-50-5068	120
TCGA-50-5072	208
TCGA-50-5930	1445
TCGA-50-5931	385
TCGA-50-5932	92
TCGA-50-5933	669
TCGA-50-5935	124
TCGA-50-5936	146
TCGA-50-5939	105
TCGA-50-5941	506
TCGA-50-5942	73
TCGA-50-5944	85
TCGA-50-5946	1676
TCGA-50-6590	1124
TCGA-50-6591	70
TCGA-50-6592	364
TCGA-50-6593	390
TCGA-50-6594	647
TCGA-50-6595	123
TCGA-50-6597	79
TCGA-50-6673	111
TCGA-50-7109	320
TCGA-50-8457	67
TCGA-50-8459	119
TCGA-50-8460	36
TCGA-53-7624	1029
TCGA-53-7626	1507
TCGA-53-7813	187
TCGA-53-A4EZ	677
TCGA-55-1592	700
TCGA-55-1594	238
TCGA-55-1595	426
TCGA-55-1596	234
TCGA-55-5899	552
TCGA-55-6543	26
TCGA-55-6642	172
TCGA-55-6712	206
TCGA-55-6968	671
TCGA-55-6969	605
TCGA-55-6970	222
TCGA-55-6971	297
TCGA-55-6972	370
TCGA-55-6975	107
TCGA-55-6978	79
TCGA-55-6979	771
TCGA-55-6980	38
TCGA-55-6981	300
TCGA-55-6982	304
TCGA-55-6983	140
TCGA-55-6984	50
TCGA-55-6985	617
TCGA-55-6986	33
TCGA-55-6987	291
TCGA-55-7227	208
TCGA-55-7281	1165
TCGA-55-7283	596
TCGA-55-7284	57
TCGA-55-7570	964
TCGA-55-7573	65
TCGA-55-7574	661
TCGA-55-7576	1022
TCGA-55-7724	285
TCGA-55-7725	156
TCGA-55-7726	142
TCGA-55-7727	318
TCGA-55-7728	122
TCGA-55-7815	184
TCGA-55-7816	2
TCGA-55-7903	189
TCGA-55-7907	1461
TCGA-55-7910	370
TCGA-55-7911	282
TCGA-55-7913	436
TCGA-55-7914	214
TCGA-55-7994	1899
TCGA-55-7995	829
TCGA-55-8085	331
TCGA-55-8087	40
TCGA-55-8089	1556
TCGA-55-8090	113
TCGA-55-8091	38
TCGA-55-8092	727
TCGA-55-8094	561
TCGA-55-8096	179
TCGA-55-8097	142
TCGA-55-8203	536
TCGA-55-8204	270
TCGA-55-8205	648
TCGA-55-8206	38
TCGA-55-8207	388
TCGA-55-8208	446
TCGA-55-8299	516
TCGA-55-8301	362
TCGA-55-8302	848
TCGA-55-8505	48
TCGA-55-8506	2123
TCGA-55-8507	1219
TCGA-55-8508	229
TCGA-55-8510	395
TCGA-55-8511	715
TCGA-55-8512	52
TCGA-55-8513	9
TCGA-55-8514	353
TCGA-55-8614	300
TCGA-55-8615	164
TCGA-55-8616	607
TCGA-55-8619	27
TCGA-55-8620	618
TCGA-55-8621	89
TCGA-55-A48X	485
TCGA-55-A48Y	446
TCGA-55-A48Z	68
TCGA-55-A490	1653
TCGA-55-A491	467
TCGA-55-A492	358
TCGA-55-A493	340
TCGA-55-A494	299
TCGA-55-A4DF	984
TCGA-55-A4DG	848
TCGA-55-A57B	49
TCGA-62-8394	175
TCGA-62-8395	90
TCGA-62-8397	32
TCGA-62-8398	104
TCGA-62-8399	662
TCGA-62-8402	74
TCGA-62-A46O	1095
TCGA-62-A46P	354
TCGA-62-A46R	209
TCGA-62-A46S	160
TCGA-62-A46U	52
TCGA-62-A46V	71
TCGA-62-A46Y	40
TCGA-62-A470	147
TCGA-62-A471	148
TCGA-62-A472	72
TCGA-64-1676	742
TCGA-64-1677	267
TCGA-64-1679	636
TCGA-64-1680	78
TCGA-64-1681	106
TCGA-64-5774	176
TCGA-64-5775	592
TCGA-64-5778	584
TCGA-64-5779	438
TCGA-64-5781	1417
TCGA-64-5815	214
TCGA-67-3770	273
TCGA-67-3771	1337
TCGA-67-3772	79
TCGA-67-3773	128
TCGA-67-3774	151
TCGA-67-4679	365
TCGA-67-6215	137
TCGA-67-6216	47
TCGA-67-6217	239
TCGA-69-7760	88
TCGA-69-7761	36
TCGA-69-7763	102
TCGA-69-7764	117
TCGA-69-7765	755
TCGA-69-7973	311
TCGA-69-7974	646
TCGA-69-7978	773
TCGA-69-7979	1808
TCGA-69-7980	977
TCGA-69-8253	210
TCGA-69-8254	97
TCGA-69-8255	367
TCGA-69-A59K	637
TCGA-71-6725	81
TCGA-71-8520	105
TCGA-73-4658	449
TCGA-73-4659	274
TCGA-73-4662	277
TCGA-73-4666	487
TCGA-73-4668	650
TCGA-73-4670	452
TCGA-73-4675	85
TCGA-73-4676	114
TCGA-73-4677	311
TCGA-73-7498	141
TCGA-73-7499	85
TCGA-73-A9RS	1174
TCGA-75-5122	168
TCGA-75-5125	215
TCGA-75-5126	818
TCGA-75-5146	239
TCGA-75-5147	47
TCGA-75-6203	19
TCGA-75-6205	62
TCGA-75-6206	109
TCGA-75-6207	84
TCGA-75-6211	460
TCGA-75-6212	23
TCGA-75-6214	903
TCGA-75-7025	43
TCGA-75-7027	313
TCGA-75-7030	19
TCGA-75-7031	266
TCGA-78-7145	258
TCGA-78-7146	505
TCGA-78-7147	438
TCGA-78-7148	289
TCGA-78-7149	200
TCGA-78-7150	521
TCGA-78-7152	260
TCGA-78-7153	160
TCGA-78-7154	333
TCGA-78-7155	1868
TCGA-78-7156	427
TCGA-78-7158	340
TCGA-78-7159	420
TCGA-78-7160	72
TCGA-78-7161	250
TCGA-78-7162	103
TCGA-78-7163	70
TCGA-78-7166	277
TCGA-78-7167	155
TCGA-78-7220	1063
TCGA-78-7535	224
TCGA-78-7536	846
TCGA-78-7537	171
TCGA-78-7539	614
TCGA-78-7540	345
TCGA-78-7542	479
TCGA-78-7633	203
TCGA-78-8640	917
TCGA-78-8648	17
TCGA-78-8655	133
TCGA-78-8660	308
TCGA-78-8662	1444
TCGA-80-5607	160
TCGA-80-5608	497
TCGA-80-5611	249
TCGA-83-5908	295
TCGA-86-6562	76
TCGA-86-6851	1145
TCGA-86-7701	570
TCGA-86-7711	564
TCGA-86-7713	399
TCGA-86-7714	91
TCGA-86-7953	65
TCGA-86-7954	291
TCGA-86-7955	381
TCGA-86-8054	276
TCGA-86-8055	65
TCGA-86-8056	342
TCGA-86-8073	1857
TCGA-86-8074	79
TCGA-86-8075	62
TCGA-86-8076	84
TCGA-86-8278	145
TCGA-86-8279	639
TCGA-86-8280	55
TCGA-86-8281	338
TCGA-86-8358	1381
TCGA-86-8359	201
TCGA-86-8585	714
TCGA-86-8668	47
TCGA-86-8669	170
TCGA-86-8671	47
TCGA-86-8672	378
TCGA-86-8673	607
TCGA-86-8674	386
TCGA-86-A456	454
TCGA-86-A4JF	1654
TCGA-86-A4P7	85
TCGA-86-A4P8	2
TCGA-91-6828	702
TCGA-91-6829	823
TCGA-91-6830	346
TCGA-91-6831	346
TCGA-91-6835	116
TCGA-91-6836	655
TCGA-91-6840	178
TCGA-91-6847	122
TCGA-91-6848	785
TCGA-91-6849	157
TCGA-91-7771	251
TCGA-91-8496	42
TCGA-91-8497	56
TCGA-91-8499	397
TCGA-91-A4BC	563
TCGA-91-A4BD	27
TCGA-93-7347	146
TCGA-93-7348	271
TCGA-93-8067	675
TCGA-93-A4JN	98
TCGA-93-A4JO	66
TCGA-93-A4JP	83
TCGA-93-A4JQ	145
TCGA-95-7039	1620
TCGA-95-7043	1357
TCGA-95-7562	466
TCGA-95-7567	1147
TCGA-95-7944	309
TCGA-95-7947	667
TCGA-95-7948	184
TCGA-95-8039	118
TCGA-95-8494	133
TCGA-95-A4VK	318
TCGA-95-A4VN	592
TCGA-95-A4VP	161
TCGA-97-7546	355
TCGA-97-7547	234
TCGA-97-7552	54
TCGA-97-7553	51
TCGA-97-7554	574
TCGA-97-7937	564
