Samples	SBS96A	SBS96B
TCGA-05-4244	206	56
TCGA-05-4249	297	102
TCGA-05-4250	293	148
TCGA-05-4382	1719	394
TCGA-05-4384	119	51
TCGA-05-4389	92	206
TCGA-05-4390	640	71
TCGA-05-4395	149	203
TCGA-05-4396	1929	0
TCGA-05-4397	635	390
TCGA-05-4398	676	275
TCGA-05-4402	0	157
TCGA-05-4403	112	60
TCGA-05-4405	393	105
TCGA-05-4410	1059	342
TCGA-05-4415	216	37
TCGA-05-4417	343	40
TCGA-05-4418	255	84
TCGA-05-4420	307	69
TCGA-05-4422	11	44
TCGA-05-4424	684	248
TCGA-05-4425	11	44
TCGA-05-4426	23	34
TCGA-05-4427	1052	234
TCGA-05-4430	301	58
TCGA-05-4432	631	146
TCGA-05-4433	12	33
TCGA-05-4434	12	47
TCGA-05-5420	74	43
TCGA-05-5423	131	57
TCGA-05-5425	592	138
TCGA-05-5428	234	244
TCGA-05-5429	9	38
TCGA-05-5715	4	147
TCGA-35-3615	56	92
TCGA-35-4122	250	166
TCGA-35-4123	329	52
TCGA-35-5375	364	165
TCGA-38-4625	538	231
TCGA-38-4626	285	48
TCGA-38-4627	15	21
TCGA-38-4628	74	77
TCGA-38-4629	222	136
TCGA-38-4630	24	141
TCGA-38-4631	850	100
TCGA-38-4632	524	145
TCGA-38-6178	40	53
TCGA-38-7271	49	68
TCGA-38-A44F	7	12
TCGA-44-2655	198	33
TCGA-44-2656	1902	235
TCGA-44-2657	806	239
TCGA-44-2659	887	131
TCGA-44-2661	36	66
TCGA-44-2662	59	481
TCGA-44-2665	23	104
TCGA-44-2666	15	71
TCGA-44-2668	621	268
TCGA-44-3396	117	371
TCGA-44-3398	241	265
TCGA-44-3918	1979	382
TCGA-44-3919	25	111
TCGA-44-4112	789	434
TCGA-44-5643	139	191
TCGA-44-5644	2041	360
TCGA-44-5645	41	48
TCGA-44-6144	411	152
TCGA-44-6145	712	78
TCGA-44-6146	36	60
TCGA-44-6147	261	67
TCGA-44-6148	9	8
TCGA-44-6774	735	49
TCGA-44-6775	85	85
TCGA-44-6776	441	82
TCGA-44-6777	539	414
TCGA-44-6778	821	161
TCGA-44-6779	77	51
TCGA-44-7659	280	89
TCGA-44-7660	641	303
TCGA-44-7661	517	251
TCGA-44-7662	1032	404
TCGA-44-7667	934	223
TCGA-44-7669	933	195
TCGA-44-7670	2058	687
TCGA-44-7671	434	148
TCGA-44-7672	321	88
TCGA-44-8117	810	122
TCGA-44-8119	636	139
TCGA-44-8120	650	102
TCGA-44-A479	320	60
TCGA-44-A47A	75	197
TCGA-44-A47B	28	33
TCGA-44-A47G	36	65
TCGA-44-A4SS	408	186
TCGA-44-A4SU	135	54
TCGA-49-4486	23	197
TCGA-49-4487	319	139
TCGA-49-4488	290	78
TCGA-49-4490	13	59
TCGA-49-4494	190	53
TCGA-49-4501	13	62
TCGA-49-4505	197	77
TCGA-49-4506	110	34
TCGA-49-4507	129	127
TCGA-49-4510	67	15
TCGA-49-4512	21	35
TCGA-49-4514	197	228
TCGA-49-6742	48	308
TCGA-49-6743	510	471
TCGA-49-6744	262	37
TCGA-49-6745	6	170
TCGA-49-6761	317	102
TCGA-49-6767	504	112
TCGA-49-AAQV	7	81
TCGA-49-AAR0	104	73
TCGA-49-AAR2	435	53
TCGA-49-AAR3	115	56
TCGA-49-AAR4	478	234
TCGA-49-AAR9	715	97
TCGA-49-AARE	1398	279
TCGA-49-AARN	467	467
TCGA-49-AARO	673	65
TCGA-49-AARQ	684	209
TCGA-49-AARR	2	1
TCGA-4B-A93V	127	44
TCGA-50-5044	6	176
TCGA-50-5045	335	38
TCGA-50-5049	896	114
TCGA-50-5051	116	29
TCGA-50-5055	3	19
TCGA-50-5066	596	210
TCGA-50-5068	74	46
TCGA-50-5072	141	67
TCGA-50-5930	1363	82
TCGA-50-5931	301	84
TCGA-50-5932	81	11
