Samples	SBS96A	SBS96B
TCGA-05-4244	1.15E+00	1.15E+00
TCGA-05-4249	1.39E+00	1.39E+00
TCGA-05-4250	1.45E+00	1.45E+00
TCGA-05-4382	2.66E+00	2.66E+00
TCGA-05-4384	9.84E-01	9.84E-01
TCGA-05-4389	1.16E+00	1.16E+00
TCGA-05-4390	1.45E+00	1.45E+00
TCGA-05-4395	1.55E+00	1.55E+00
TCGA-05-4396	6.79E-01	6.79E-01
TCGA-05-4397	2.49E+00	2.49E+00
TCGA-05-4398	2.18E+00	2.18E+00
TCGA-05-4402	4.35E-01	4.31E-01
TCGA-05-4403	9.74E-01	9.74E-01
TCGA-05-4405	1.80E+00	1.80E+00
TCGA-05-4410	2.30E+00	2.30E+00
TCGA-05-4415	8.83E-01	8.83E-01
TCGA-05-4417	8.86E-01	8.86E-01
TCGA-05-4418	1.32E+00	1.32E+00
TCGA-05-4420	1.19E+00	1.19E+00
TCGA-05-4422	5.26E-01	5.26E-01
TCGA-05-4424	1.97E+00	1.97E+00
TCGA-05-4425	2.27E-01	2.27E-01
TCGA-05-4426	5.42E-01	5.42E-01
TCGA-05-4427	2.23E+00	2.23E+00
TCGA-05-4430	1.08E+00	1.08E+00
TCGA-05-4432	1.87E+00	1.87E+00
TCGA-05-4433	4.15E-01	4.15E-01
TCGA-05-4434	4.81E-01	4.80E-01
TCGA-05-5420	8.81E-01	8.83E-01
TCGA-05-5423	1.03E+00	1.03E+00
TCGA-05-5425	1.65E+00	1.65E+00
TCGA-05-5428	1.63E+00	1.63E+00
TCGA-05-5429	3.11E-01	3.11E-01
TCGA-05-5715	5.28E-01	5.28E-01
TCGA-35-3615	8.57E-01	8.57E-01
TCGA-35-4122	1.55E+00	1.55E+00
TCGA-35-4123	1.08E+00	1.08E+00
TCGA-35-5375	1.72E+00	1.72E+00
TCGA-38-4625	1.82E+00	1.82E+00
TCGA-38-4626	7.81E-01	7.80E-01
TCGA-38-4627	4.39E-01	4.36E-01
TCGA-38-4628	1.03E+00	1.03E+00
TCGA-38-4629	1.35E+00	1.35E+00
TCGA-38-4630	7.16E-01	7.16E-01
TCGA-38-4631	1.62E+00	1.62E+00
TCGA-38-4632	1.57E+00	1.57E+00
TCGA-38-6178	7.59E-01	7.59E-01
TCGA-38-7271	7.44E-01	7.44E-01
TCGA-38-A44F	3.15E-01	3.15E-01
TCGA-44-2655	8.05E-01	8.05E-01
TCGA-44-2656	2.89E+00	2.89E+00
TCGA-44-2657	2.37E+00	2.37E+00
TCGA-44-2659	1.53E+00	1.53E+00
TCGA-44-2661	8.17E-01	8.17E-01
TCGA-44-2662	1.25E+00	1.25E+00
TCGA-44-2665	6.77E-01	6.77E-01
TCGA-44-2666	4.64E-01	4.64E-01
TCGA-44-2668	1.77E+00	1.77E+00
TCGA-44-3396	1.45E+00	1.45E+00
TCGA-44-3398	1.48E+00	1.48E+00
TCGA-44-3918	2.96E+00	2.96E+00
TCGA-44-3919	6.39E-01	6.39E-01
TCGA-44-4112	2.43E+00	2.43E+00
TCGA-44-5643	1.62E+00	1.62E+00
TCGA-44-5644	2.88E+00	2.88E+00
TCGA-44-5645	6.99E-01	6.99E-01
TCGA-44-6144	1.71E+00	1.71E+00
TCGA-44-6145	1.43E+00	1.43E+00
TCGA-44-6146	6.84E-01	6.85E-01
TCGA-44-6147	1.33E+00	1.33E+00
TCGA-44-6148	3.27E-01	3.27E-01
TCGA-44-6774	1.26E+00	1.26E+00
TCGA-44-6775	1.19E+00	1.19E+00
TCGA-44-6776	1.18E+00	1.18E+00
TCGA-44-6777	2.26E+00	2.26E+00
TCGA-44-6778	1.61E+00	1.61E+00
TCGA-44-6779	9.01E-01	9.01E-01
TCGA-44-7659	1.56E+00	1.56E+00
TCGA-44-7660	2.73E+00	2.73E+00
TCGA-44-7661	1.61E+00	1.61E+00
TCGA-44-7662	2.71E+00	2.71E+00
TCGA-44-7667	2.41E+00	2.41E+00
TCGA-44-7669	2.17E+00	2.17E+00
TCGA-44-7670	3.91E+00	3.91E+00
TCGA-44-7671	1.80E+00	1.80E+00
TCGA-44-7672	1.27E+00	1.27E+00
TCGA-44-8117	1.59E+00	1.59E+00
TCGA-44-8119	1.82E+00	1.82E+00
TCGA-44-8120	1.41E+00	1.41E+00
TCGA-44-A479	1.05E+00	1.05E+00
TCGA-44-A47A	1.26E+00	1.26E+00
TCGA-44-A47B	5.95E-01	5.95E-01
TCGA-44-A47G	7.39E-01	7.39E-01
TCGA-44-A4SS	1.85E+00	1.85E+00
TCGA-44-A4SU	1.15E+00	1.15E+00
TCGA-49-4486	7.42E-01	7.42E-01
TCGA-49-4487	1.24E+00	1.24E+00
TCGA-49-4488	1.05E+00	1.05E+00
TCGA-49-4490	3.96E-01	3.96E-01
TCGA-49-4494	9.81E-01	9.81E-01
TCGA-49-4501	4.39E-01	4.39E-01
TCGA-49-4505	1.24E+00	1.24E+00
TCGA-49-4506	9.05E-01	9.05E-01
TCGA-49-4507	1.30E+00	1.30E+00
TCGA-49-4510	6.76E-01	6.76E-01
TCGA-49-4512	4.78E-01	4.78E-01
TCGA-49-4514	1.36E+00	1.36E+00
TCGA-49-6742	8.58E-01	8.58E-01
TCGA-49-6743	2.12E+00	2.12E+00
TCGA-49-6744	8.26E-01	8.26E-01
TCGA-49-6745	5.30E-01	5.30E-01
TCGA-49-6761	1.23E+00	1.23E+00
TCGA-49-6767	1.43E+00	1.43E+00
TCGA-49-AAQV	4.77E-01	4.78E-01
TCGA-49-AAR0	1.02E+00	1.02E+00
TCGA-49-AAR2	1.07E+00	1.07E+00
TCGA-49-AAR3	9.47E-01	9.47E-01
TCGA-49-AAR4	1.71E+00	1.71E+00
TCGA-49-AAR9	1.59E+00	1.59E+00
TCGA-49-AARE	2.17E+00	2.17E+00
TCGA-49-AARN	2.78E+00	2.78E+00
TCGA-49-AARO	1.01E+00	1.01E+00
TCGA-49-AARQ	2.21E+00	2.21E+00
TCGA-49-AARR	1.25E-01	1.26E-01
TCGA-4B-A93V	9.52E-01	9.52E-01
TCGA-50-5044	6.55E-01	6.58E-01
TCGA-50-5045	7.72E-01	7.72E-01
TCGA-50-5049	1.46E+00	1.46E+00
TCGA-50-5051	8.70E-01	8.68E-01
TCGA-50-5055	1.38E-01	1.38E-01
TCGA-50-5066	1.75E+00	1.75E+00
TCGA-50-5068	7.85E-01	7.87E-01
TCGA-50-5072	9.70E-01	9.70E-01
TCGA-50-5930	1.43E+00	1.43E+00
TCGA-50-5931	1.33E+00	1.33E+00
TCGA-50-5932	5.74E-01	5.73E-01
TCGA-50-5933	1.93E+00	1.93E+00
TCGA-50-5935	1.71E-01	1.71E-01
TCGA-50-5936	8.40E-01	8.40E-01
TCGA-50-5939	7.60E-01	7.60E-01
TCGA-50-5941	1.46E+00	1.46E+00
TCGA-50-5942	7.56E-01	7.56E-01
TCGA-50-5944	7.20E-01	7.20E-01
TCGA-50-5946	2.85E+00	2.85E+00
TCGA-50-6590	2.51E+00	2.51E+00
TCGA-50-6591	5.92E-01	5.92E-01
TCGA-50-6592	1.46E+00	1.46E+00
TCGA-50-6593	1.25E+00	1.25E+00
TCGA-50-6594	1.31E+00	1.31E+00
TCGA-50-6595	8.47E-01	8.47E-01
TCGA-50-6597	4.15E-01	4.15E-01
TCGA-50-6673	6.74E-01	6.74E-01
TCGA-50-7109	1.13E+00	1.13E+00
TCGA-50-8457	7.00E-01	7.00E-01
TCGA-50-8459	7.42E-01	7.42E-01
TCGA-50-8460	3.64E-01	3.64E-01
TCGA-53-7624	2.20E+00	2.20E+00
TCGA-53-7626	9.18E-01	9.18E-01
TCGA-53-7813	8.45E-01	8.43E-01
TCGA-53-A4EZ	1.56E+00	1.56E+00
