Samples	SBS96A	SBS96B	SBS96C
TCGA-05-4244	135	111	16
TCGA-05-4249	209	147	43
TCGA-05-4250	221	142	78
TCGA-05-4382	1487	350	276
TCGA-05-4384	76	76	18
TCGA-05-4389	67	118	113
TCGA-05-4390	485	202	24
TCGA-05-4395	124	100	128
TCGA-05-4396	1929	0	0
TCGA-05-4397	493	305	227
TCGA-05-4398	509	303	139
TCGA-05-4402	8	23	126
TCGA-05-4403	50	114	8
TCGA-05-4405	275	185	38
TCGA-05-4410	863	327	211
TCGA-05-4415	151	91	11
TCGA-05-4417	257	113	13
TCGA-05-4418	170	138	31
TCGA-05-4420	223	125	28
TCGA-05-4422	8	23	24
TCGA-05-4424	574	202	156
TCGA-05-4425	0	55	0
TCGA-05-4426	5	46	6
TCGA-05-4427	795	380	111
TCGA-05-4430	230	102	27
TCGA-05-4432	437	288	52
TCGA-05-4433	0	45	0
TCGA-05-4434	0	45	14
TCGA-05-5420	36	73	8
TCGA-05-5423	87	80	21
TCGA-05-5425	423	250	57
TCGA-05-5428	218	86	174
TCGA-05-5429	0	43	4
TCGA-05-5715	8	46	97
TCGA-35-3615	48	42	58
TCGA-35-4122	156	190	70
TCGA-35-4123	249	111	21
TCGA-35-5375	235	228	66
TCGA-38-4625	486	114	169
TCGA-38-4626	226	79	28
TCGA-38-4627	4	28	4
TCGA-38-4628	33	95	23
TCGA-38-4629	143	158	57
TCGA-38-4630	14	77	74
TCGA-38-4631	643	268	39
TCGA-38-4632	368	241	60
TCGA-38-6178	18	57	18
TCGA-38-7271	48	18	51
TCGA-38-A44F	0	18	1
TCGA-44-2655	158	55	18
TCGA-44-2656	1426	631	80
TCGA-44-2657	636	282	127
TCGA-44-2659	687	276	55
TCGA-44-2661	6	79	17
TCGA-44-2662	95	61	384
TCGA-44-2665	0	94	33
TCGA-44-2666	0	69	17
TCGA-44-2668	534	171	184
TCGA-44-3396	92	173	223
TCGA-44-3398	206	127	173
TCGA-44-3918	1656	459	246
TCGA-44-3919	9	75	52
TCGA-44-4112	677	262	284
TCGA-44-5643	65	195	70
TCGA-44-5644	1555	683	163
TCGA-44-5645	0	89	0
TCGA-44-6144	281	220	62
TCGA-44-6145	557	196	37
TCGA-44-6146	1	90	5
TCGA-44-6147	180	125	23
TCGA-44-6148	2	15	0
