Samples	SBS96A	SBS96B	SBS96C
TCGA-05-4244	1.86E+00	1.84E+00	6.53E-01
TCGA-05-4249	2.73E+00	2.65E+00	8.77E-01
TCGA-05-4250	2.66E+00	2.42E+00	1.16E+00
TCGA-05-4382	1.44E+01	1.49E+01	2.40E+00
TCGA-05-4384	1.38E+00	1.47E+00	5.64E-01
TCGA-05-4389	1.16E+00	1.41E+00	1.17E+00
TCGA-05-4390	5.50E+00	5.56E+00	8.53E-01
TCGA-05-4395	1.96E+00	1.66E+00	1.40E+00
TCGA-05-4396	1.20E+00	9.77E-01	8.17E-01
TCGA-05-4397	5.91E+00	5.76E+00	1.96E+00
TCGA-05-4398	5.77E+00	5.51E+00	1.48E+00
TCGA-05-4402	4.30E-01	9.67E-01	9.97E-01
TCGA-05-4403	1.03E+00	1.02E+00	5.80E-01
TCGA-05-4405	2.94E+00	2.74E+00	9.20E-01
TCGA-05-4410	9.34E+00	9.78E+00	2.03E+00
TCGA-05-4415	2.20E+00	2.24E+00	5.34E-01
TCGA-05-4417	2.87E+00	2.88E+00	5.55E-01
TCGA-05-4418	2.12E+00	2.12E+00	6.80E-01
TCGA-05-4420	2.52E+00	2.66E+00	7.31E-01
TCGA-05-4422	5.25E-01	6.30E-01	4.98E-01
TCGA-05-4424	5.37E+00	5.33E+00	1.56E+00
TCGA-05-4425	0.00E+00	6.04E-01	6.04E-01
TCGA-05-4426	3.84E-01	5.03E-01	3.54E-01
TCGA-05-4427	8.11E+00	7.98E+00	1.48E+00
TCGA-05-4430	3.01E+00	3.04E+00	7.77E-01
TCGA-05-4432	5.27E+00	5.20E+00	1.09E+00
TCGA-05-4433	1.86E-01	3.70E-01	3.42E-01
TCGA-05-4434	1.00E-02	4.68E-01	4.67E-01
TCGA-05-5420	9.02E-01	9.59E-01	4.44E-01
TCGA-05-5423	1.26E+00	1.12E+00	5.98E-01
TCGA-05-5425	5.08E+00	5.22E+00	1.00E+00
TCGA-05-5428	2.67E+00	2.29E+00	1.53E+00
TCGA-05-5429	2.23E-02	5.39E-01	5.39E-01
TCGA-05-5715	5.28E-01	8.76E-01	9.05E-01
TCGA-35-3615	9.24E-01	9.30E-01	9.48E-01
TCGA-35-4122	1.93E+00	1.80E+00	1.04E+00
TCGA-35-4123	2.78E+00	2.73E+00	5.99E-01
TCGA-35-5375	3.05E+00	2.97E+00	1.06E+00
TCGA-38-4625	5.11E+00	4.90E+00	1.54E+00
TCGA-38-4626	2.96E+00	3.03E+00	5.61E-01
TCGA-38-4627	3.28E-01	4.63E-01	3.64E-01
