Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-05-4244	135	46	16	65
TCGA-05-4249	220	63	42	74
TCGA-05-4250	209	76	77	79
TCGA-05-4382	1359	441	258	55
TCGA-05-4384	93	20	18	39
TCGA-05-4389	55	31	113	99
TCGA-05-4390	473	142	24	72
TCGA-05-4395	134	37	124	57
TCGA-05-4396	0	1916	13	0
TCGA-05-4397	534	143	221	127
TCGA-05-4398	498	162	135	156
TCGA-05-4402	13	3	125	16
TCGA-05-4403	63	19	9	81
TCGA-05-4405	278	85	37	98
TCGA-05-4410	867	245	201	88
TCGA-05-4415	171	39	11	32
TCGA-05-4417	256	75	13	39
TCGA-05-4418	170	61	32	76
TCGA-05-4420	209	77	28	62
TCGA-05-4422	12	2	24	17
TCGA-05-4424	512	187	149	84
TCGA-05-4425	0	0	0	55
TCGA-05-4426	10	2	6	39
TCGA-05-4427	811	232	108	135
TCGA-05-4430	229	67	26	37
TCGA-05-4432	463	133	53	128
TCGA-05-4433	0	1	0	44
TCGA-05-4434	11	0	14	34
TCGA-05-5420	44	13	9	51
TCGA-05-5423	61	41	21	65
TCGA-05-5425	482	107	55	86
TCGA-05-5428	203	69	166	40
TCGA-05-5429	0	1	4	42
TCGA-05-5715	6	5	96	44
TCGA-35-3615	41	19	55	33
TCGA-35-4122	182	54	72	108
TCGA-35-4123	234	79	21	47
TCGA-35-5375	290	62	65	112
TCGA-38-4625	438	147	158	26
TCGA-38-4626	258	48	26	1
TCGA-38-4627	4	3	4	25
TCGA-38-4628	50	10	24	67
TCGA-38-4629	176	40	57	85
TCGA-38-4630	2	13	76	74
TCGA-38-4631	657	183	40	70
TCGA-38-4632	419	97	59	94
TCGA-38-6178	35	3	18	37
TCGA-38-7271	52	13	48	4
TCGA-38-A44F	3	0	1	15
TCGA-44-2655	159	42	17	13
TCGA-44-2656	1406	417	78	236
TCGA-44-2657	544	225	123	153
TCGA-44-2659	585	237	53	143
TCGA-44-2661	30	0	18	54
TCGA-44-2662	119	23	366	32
TCGA-44-2665	3	5	35	84
TCGA-44-2666	0	3	18	65
TCGA-44-2668	555	137	171	26
TCGA-44-3396	106	31	219	132
TCGA-44-3398	191	70	166	79
TCGA-44-3918	1541	491	231	98
TCGA-44-3919	30	2	54	50
TCGA-44-4112	582	235	274	132
TCGA-44-5643	111	17	71	131
TCGA-44-5644	1543	458	159	241
TCGA-44-5645	22	0	0	67
TCGA-44-6144	313	81	61	108
TCGA-44-6145	594	131	34	31
TCGA-44-6146	10	4	5	77
TCGA-44-6147	186	56	23	63
TCGA-44-6148	0	2	0	15
TCGA-44-6774	583	154	21	26
TCGA-44-6775	48	20	30	72
TCGA-44-6776	333	90	30	70
TCGA-44-6777	427	145	248	133
TCGA-44-6778	651	144	51	136
TCGA-44-6779	39	17	13	59
TCGA-44-7659	205	60	36	68
TCGA-44-7660	494	105	103	242
TCGA-44-7661	417	142	165	44
TCGA-44-7662	816	238	216	166
TCGA-44-7667	705	163	60	229
TCGA-44-7669	707	168	52	201
TCGA-44-7670	1622	533	428	162
TCGA-44-7671	335	74	49	124
TCGA-44-7672	301	38	35	35
TCGA-44-8117	555	212	53	112
TCGA-44-8119	468	117	35	155
TCGA-44-8120	450	174	49	79
TCGA-44-A479	236	74	28	42
TCGA-44-A47A	68	21	119	64
TCGA-44-A47B	8	4	4	45
TCGA-44-A47G	24	8	28	41
TCGA-44-A4SS	331	85	93	85
TCGA-44-A4SU	95	18	9	67
TCGA-49-4486	43	11	150	16
TCGA-49-4487	262	77	84	35
TCGA-49-4488	211	80	46	31
TCGA-49-4490	0	4	20	48
TCGA-49-4494	156	26	15	46
TCGA-49-4501	0	3	14	58
TCGA-49-4505	145	34	24	71
TCGA-49-4506	73	20	8	43
TCGA-49-4507	109	24	62	61
TCGA-49-4510	27	29	9	17
TCGA-49-4512	5	4	6	41
TCGA-49-4514	188	44	140	53
TCGA-49-6742	60	16	196	84
TCGA-49-6743	444	129	290	118
TCGA-49-6744	200	60	16	23
TCGA-49-6745	2	7	99	68
TCGA-49-6761	59	213	104	43
TCGA-49-6767	373	121	55	67
TCGA-49-AAQV	16	0	47	25
TCGA-49-AAR0	80	17	29	51
TCGA-49-AAR2	339	91	20	38
TCGA-49-AAR3	82	21	19	49
TCGA-49-AAR4	428	108	146	30
TCGA-49-AAR9	545	150	33	84
TCGA-49-AARE	1035	353	150	139
TCGA-49-AARN	409	95	248	182
TCGA-49-AARO	536	157	45	0
TCGA-49-AARQ	541	172	126	54
TCGA-49-AARR	1	0	0	2
TCGA-4B-A93V	97	23	16	35
TCGA-50-5044	8	14	147	13
TCGA-50-5045	257	88	28	0
TCGA-50-5049	706	205	62	37
TCGA-50-5051	41	46	10	48
TCGA-50-5055	0	0	5	17
TCGA-50-5066	534	81	85	106
TCGA-50-5068	53	7	9	51
TCGA-50-5072	115	27	30	36
TCGA-50-5930	977	362	46	60
TCGA-50-5931	220	67	34	64
TCGA-50-5932	60	16	3	13
TCGA-50-5933	395	97	66	111
TCGA-50-5935	14	0	74	36
TCGA-50-5936	36	7	78	25
TCGA-50-5939	24	2	33	46
TCGA-50-5941	291	94	56	65
TCGA-50-5942	33	8	3	29
TCGA-50-5944	17	3	11	54
TCGA-50-5946	767	287	411	211
TCGA-50-6590	640	185	262	37
TCGA-50-6591	15	6	8	41
TCGA-50-6592	181	31	87	65
TCGA-50-6593	217	77	26	70
TCGA-50-6594	413	127	72	35
TCGA-50-6595	28	8	41	46
TCGA-50-6597	3	1	30	45
TCGA-50-6673	0	58	6	47
TCGA-50-7109	182	55	13	70
TCGA-50-8457	23	8	9	27
TCGA-50-8459	48	23	7	41
TCGA-50-8460	1	4	7	24
TCGA-53-7624	522	184	212	111
TCGA-53-7626	342	1126	39	0
TCGA-53-7813	108	31	3	45
TCGA-53-A4EZ	398	145	50	84
TCGA-55-1592	353	82	106	159
TCGA-55-1594	71	13	93	61
TCGA-55-1595	273	74	23	56
TCGA-55-1596	114	30	16	74
TCGA-55-5899	263	89	146	54
TCGA-55-6543	0	1	2	23
TCGA-55-6642	94	44	10	24
TCGA-55-6712	34	11	118	43
TCGA-55-6968	127	41	503	0
TCGA-55-6969	358	160	40	47
TCGA-55-6970	142	33	17	30
TCGA-55-6971	32	240	8	17
TCGA-55-6972	123	41	173	33
TCGA-55-6975	43	13	15	36
TCGA-55-6978	2	51	0	26
TCGA-55-6979	54	669	48	0
TCGA-55-6980	2	26	0	10
TCGA-55-6981	0	265	2	33
TCGA-55-6982	4	28	254	18
TCGA-55-6983	44	34	10	52
TCGA-55-6984	2	30	3	15
TCGA-55-6985	413	121	20	63
TCGA-55-6986	3	8	2	20
TCGA-55-6987	131	44	99	17
TCGA-55-7227	105	32	17	54
TCGA-55-7281	617	262	134	152
TCGA-55-7283	154	72	137	233
