Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-05-4244	1.37E+00	8.06E-01	6.17E-01	1.21E+00
TCGA-05-4249	1.65E+00	9.91E-01	8.07E-01	1.41E+00
TCGA-05-4250	1.71E+00	1.05E+00	1.06E+00	1.50E+00
TCGA-05-4382	4.22E+00	3.29E+00	2.14E+00	2.48E+00
TCGA-05-4384	1.06E+00	5.73E-01	5.44E-01	9.87E-01
TCGA-05-4389	1.30E+00	5.98E-01	1.02E+00	1.44E+00
TCGA-05-4390	2.19E+00	1.58E+00	7.67E-01	1.52E+00
TCGA-05-4395	1.53E+00	8.34E-01	1.25E+00	1.23E+00
TCGA-05-4396	2.66E+00	2.86E+00	1.04E+00	7.90E-01
TCGA-05-4397	3.05E+00	1.83E+00	1.81E+00	2.49E+00
TCGA-05-4398	2.75E+00	1.69E+00	1.42E+00	2.09E+00
TCGA-05-4402	7.84E-01	2.87E-01	8.73E-01	9.16E-01
TCGA-05-4403	8.92E-01	5.47E-01	5.11E-01	9.31E-01
TCGA-05-4405	2.07E+00	1.31E+00	8.89E-01	1.62E+00
TCGA-05-4410	3.11E+00	2.45E+00	1.90E+00	2.05E+00
TCGA-05-4415	1.21E+00	8.82E-01	5.07E-01	8.34E-01
TCGA-05-4417	1.44E+00	1.10E+00	5.07E-01	9.86E-01
TCGA-05-4418	1.59E+00	1.03E+00	6.59E-01	1.47E+00
TCGA-05-4420	1.60E+00	1.08E+00	7.07E-01	1.42E+00
TCGA-05-4422	5.22E-01	1.66E-01	4.68E-01	5.41E-01
TCGA-05-4424	2.67E+00	1.84E+00	1.49E+00	1.83E+00
TCGA-05-4425	2.97E-01	0.00E+00	2.90E-01	3.92E-01
TCGA-05-4426	5.49E-01	2.46E-01	2.93E-01	5.68E-01
TCGA-05-4427	3.12E+00	1.89E+00	1.36E+00	2.47E+00
TCGA-05-4430	1.52E+00	9.93E-01	7.60E-01	9.43E-01
TCGA-05-4432	2.64E+00	1.49E+00	1.03E+00	2.01E+00
TCGA-05-4433	2.26E-01	1.42E-01	2.24E-01	3.65E-01
TCGA-05-4434	5.11E-01	0.00E+00	4.47E-01	6.79E-01
TCGA-05-5420	1.01E+00	4.15E-01	4.12E-01	1.01E+00
TCGA-05-5423	1.03E+00	7.89E-01	5.43E-01	9.32E-01
TCGA-05-5425	2.31E+00	1.59E+00	9.32E-01	1.79E+00
TCGA-05-5428	2.15E+00	1.29E+00	1.47E+00	1.18E+00
TCGA-05-5429	3.25E-01	0.00E+00	3.83E-01	4.61E-01
TCGA-05-5715	5.87E-01	3.33E-01	8.04E-01	7.35E-01
TCGA-35-3615	9.08E-01	6.00E-01	8.80E-01	8.10E-01
TCGA-35-4122	1.95E+00	9.44E-01	8.43E-01	1.83E+00
TCGA-35-4123	1.57E+00	1.10E+00	5.68E-01	1.15E+00
TCGA-35-5375	2.30E+00	1.13E+00	9.39E-01	1.98E+00
TCGA-38-4625	2.51E+00	1.65E+00	1.52E+00	1.38E+00
TCGA-38-4626	1.33E+00	1.04E+00	5.22E-01	7.53E-01
TCGA-38-4627	3.40E-01	2.56E-01	3.08E-01	4.78E-01
TCGA-38-4628	1.12E+00	4.87E-01	6.47E-01	1.06E+00
TCGA-38-4629	1.68E+00	8.64E-01	8.51E-01	1.36E+00
TCGA-38-4630	7.32E-01	4.18E-01	8.65E-01	9.35E-01
TCGA-38-4631	2.72E+00	1.89E+00	9.61E-01	1.81E+00
TCGA-38-4632	2.01E+00	1.35E+00	1.00E+00	1.66E+00
TCGA-38-6178	7.85E-01	2.59E-01	5.94E-01	8.38E-01
TCGA-38-7271	8.26E-01	5.06E-01	6.74E-01	4.39E-01
TCGA-38-A44F	2.94E-01	1.71E-02	1.41E-01	2.98E-01
TCGA-44-2655	1.26E+00	9.55E-01	5.47E-01	7.38E-01
TCGA-44-2656	4.25E+00	3.33E+00	1.56E+00	2.91E+00
TCGA-44-2657	3.18E+00	2.33E+00	1.55E+00	2.25E+00
TCGA-44-2659	2.59E+00	2.10E+00	9.40E-01	2.01E+00
TCGA-44-2661	9.28E-01	1.48E-01	5.26E-01	1.03E+00
TCGA-44-2662	1.51E+00	6.71E-01	1.75E+00	1.29E+00
TCGA-44-2665	5.94E-01	2.25E-01	8.09E-01	9.37E-01
TCGA-44-2666	1.86E-01	1.97E-01	4.90E-01	5.52E-01
TCGA-44-2668	2.38E+00	1.87E+00	1.50E+00	1.35E+00
TCGA-44-3396	1.48E+00	7.08E-01	1.58E+00	1.69E+00
TCGA-44-3398	1.65E+00	9.42E-01	1.17E+00	1.43E+00
TCGA-44-3918	4.73E+00	3.46E+00	2.16E+00	2.65E+00
TCGA-44-3919	8.63E-01	2.46E-01	7.10E-01	8.81E-01
TCGA-44-4112	2.62E+00	2.27E+00	1.90E+00	2.05E+00
TCGA-44-5643	1.46E+00	7.07E-01	1.25E+00	1.36E+00
TCGA-44-5644	3.92E+00	3.25E+00	2.09E+00	2.90E+00
TCGA-44-5645	7.03E-01	0.00E+00	0.00E+00	7.03E-01
TCGA-44-6144	2.17E+00	1.23E+00	9.31E-01	1.79E+00
TCGA-44-6145	2.05E+00	1.85E+00	9.17E-01	1.41E+00
TCGA-44-6146	6.16E-01	2.52E-01	3.76E-01	6.92E-01
TCGA-44-6147	1.67E+00	9.22E-01	7.03E-01	1.39E+00
TCGA-44-6148	2.99E-01	1.45E-01	1.41E-02	2.82E-01
TCGA-44-6774	2.06E+00	1.72E+00	7.46E-01	1.27E+00
TCGA-44-6775	1.25E+00	4.86E-01	6.54E-01	1.19E+00
TCGA-44-6776	2.01E+00	1.31E+00	7.38E-01	1.52E+00
TCGA-44-6777	2.79E+00	1.60E+00	1.72E+00	2.34E+00
TCGA-44-6778	2.66E+00	1.71E+00	9.44E-01	2.08E+00
TCGA-44-6779	9.47E-01	5.40E-01	5.89E-01	9.49E-01
TCGA-44-7659	1.81E+00	1.07E+00	7.91E-01	1.62E+00
TCGA-44-7660	2.92E+00	1.29E+00	1.41E+00	2.80E+00
TCGA-44-7661	2.34E+00	1.66E+00	1.36E+00	1.41E+00
TCGA-44-7662	3.66E+00	2.36E+00	1.60E+00	2.50E+00
TCGA-44-7667	2.96E+00	2.00E+00	1.27E+00	2.43E+00
TCGA-44-7669	2.93E+00	1.98E+00	1.25E+00	2.19E+00
TCGA-44-7670	4.85E+00	3.98E+00	2.77E+00	3.30E+00
TCGA-44-7671	2.14E+00	1.21E+00	9.93E-01	1.91E+00
TCGA-44-7672	1.58E+00	9.74E-01	8.87E-01	1.25E+00
TCGA-44-8117	2.60E+00	1.95E+00	1.01E+00	1.82E+00
TCGA-44-8119	2.71E+00	1.74E+00	7.59E-01	2.35E+00
TCGA-44-8120	2.35E+00	1.54E+00	8.61E-01	1.60E+00
TCGA-44-A479	1.53E+00	1.21E+00	6.95E-01	1.16E+00
TCGA-44-A47A	1.32E+00	6.26E-01	1.18E+00	1.18E+00
TCGA-44-A47B	6.02E-01	3.04E-01	3.14E-01	6.35E-01
TCGA-44-A47G	7.36E-01	3.77E-01	6.97E-01	8.62E-01
TCGA-44-A4SS	2.12E+00	1.46E+00	1.19E+00	1.64E+00
TCGA-44-A4SU	1.25E+00	5.32E-01	4.79E-01	1.14E+00
TCGA-49-4486	1.12E+00	4.60E-01	1.13E+00	1.06E+00
TCGA-49-4487	1.80E+00	1.22E+00	9.52E-01	1.22E+00
TCGA-49-4488	1.31E+00	9.39E-01	7.64E-01	1.23E+00
TCGA-49-4490	2.43E-01	1.90E-01	5.64E-01	6.42E-01
TCGA-49-4494	1.20E+00	7.42E-01	5.69E-01	8.45E-01
TCGA-49-4501	3.69E-01	2.17E-01	4.64E-01	5.73E-01
TCGA-49-4505	1.39E+00	9.09E-01	6.39E-01	1.02E+00
TCGA-49-4506	1.11E+00	5.78E-01	3.96E-01	9.50E-01
TCGA-49-4507	1.23E+00	6.27E-01	1.06E+00	1.07E+00
TCGA-49-4510	8.28E-01	5.47E-01	3.07E-01	6.91E-01
TCGA-49-4512	5.11E-01	2.42E-01	3.60E-01	5.41E-01
TCGA-49-4514	1.59E+00	9.15E-01	1.24E+00	1.20E+00
TCGA-49-6742	1.21E+00	5.63E-01	1.43E+00	1.44E+00
TCGA-49-6743	2.50E+00	1.45E+00	1.64E+00	1.91E+00
TCGA-49-6744	1.31E+00	1.02E+00	5.52E-01	1.07E+00
TCGA-49-6745	5.20E-01	3.53E-01	8.95E-01	9.60E-01
TCGA-49-6761	1.67E+00	1.51E+00	1.07E+00	1.26E+00
TCGA-49-6767	2.19E+00	1.39E+00	8.78E-01	1.60E+00
TCGA-49-AAQV	6.05E-01	1.30E-01	6.55E-01	6.98E-01
TCGA-49-AAR0	9.78E-01	5.32E-01	7.38E-01	9.57E-01
TCGA-49-AAR2	1.66E+00	1.27E+00	6.48E-01	1.22E+00
TCGA-49-AAR3	1.27E+00	6.02E-01	5.35E-01	1.08E+00
TCGA-49-AAR4	2.01E+00	1.34E+00	1.50E+00	1.13E+00
TCGA-49-AAR9	2.33E+00	1.42E+00	9.80E-01	1.85E+00
TCGA-49-AARE	3.39E+00	2.57E+00	1.62E+00	2.47E+00
TCGA-49-AARN	2.76E+00	1.17E+00	1.76E+00	3.04E+00
TCGA-49-AARO	1.86E+00	1.66E+00	8.85E-01	5.09E-01
TCGA-49-AARQ	2.62E+00	1.95E+00	1.60E+00	1.51E+00
TCGA-49-AARR	1.20E-01	0.00E+00	0.00E+00	1.20E-01
TCGA-4B-A93V	1.13E+00	7.41E-01	5.90E-01	8.68E-01
TCGA-50-5044	6.42E-01	4.58E-01	9.24E-01	8.39E-01
TCGA-50-5045	1.44E+00	1.25E+00	5.89E-01	5.81E-01
TCGA-50-5049	2.57E+00	2.19E+00	9.83E-01	1.61E+00
TCGA-50-5051	9.96E-01	6.35E-01	4.67E-01	8.61E-01
TCGA-50-5055	1.29E-01	0.00E+00	2.20E-01	2.49E-01
TCGA-50-5066	2.19E+00	1.38E+00	1.13E+00	1.93E+00
TCGA-50-5068	8.30E-01	4.30E-01	4.53E-01	7.68E-01
TCGA-50-5072	1.26E+00	8.52E-01	6.95E-01	9.36E-01
TCGA-50-5930	3.05E+00	2.36E+00	9.84E-01	1.74E+00
TCGA-50-5931	1.71E+00	1.18E+00	7.71E-01	1.48E+00
TCGA-50-5932	7.76E-01	5.53E-01	3.14E-01	5.33E-01
TCGA-50-5933	2.28E+00	1.48E+00	1.28E+00	1.90E+00
TCGA-50-5935	6.86E-01	0.00E+00	7.43E-01	7.63E-01
TCGA-50-5936	8.36E-01	3.48E-01	8.53E-01	8.68E-01
TCGA-50-5939	7.37E-01	2.12E-01	5.78E-01	8.06E-01
TCGA-50-5941	1.95E+00	1.21E+00	9.36E-01	1.48E+00
TCGA-50-5942	7.24E-01	3.52E-01	2.18E-01	6.84E-01
TCGA-50-5944	6.37E-01	2.65E-01	4.78E-01	6.92E-01
TCGA-50-5946	3.42E+00	2.36E+00	2.42E+00	2.96E+00
TCGA-50-6590	3.03E+00	2.02E+00	2.03E+00	1.74E+00
TCGA-50-6591	6.37E-01	3.46E-01	4.40E-01	6.42E-01
TCGA-50-6592	1.57E+00	7.68E-01	1.09E+00	1.25E+00
TCGA-50-6593	1.71E+00	1.02E+00	7.56E-01	1.42E+00
TCGA-50-6594	1.97E+00	1.52E+00	1.00E+00	1.41E+00
TCGA-50-6595	9.59E-01	4.05E-01	7.46E-01	1.04E+00
TCGA-50-6597	5.18E-01	1.06E-01	5.75E-01	6.90E-01
TCGA-50-6673	1.92E-01	5.39E-01	4.31E-01	5.53E-01
TCGA-50-7109	1.46E+00	8.05E-01	5.90E-01	1.22E+00
