Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-05-4244	133	44	15	46	24
TCGA-05-4249	219	61	42	57	20
TCGA-05-4250	182	71	66	42	80
TCGA-05-4382	1360	427	257	69	0
TCGA-05-4384	87	19	16	25	23
TCGA-05-4389	46	30	106	63	53
TCGA-05-4390	468	137	22	55	29
TCGA-05-4395	132	36	123	42	19
TCGA-05-4396	0	1886	11	12	20
TCGA-05-4397	460	134	192	58	181
TCGA-05-4398	456	154	120	95	126
TCGA-05-4402	9	3	116	8	21
TCGA-05-4403	66	18	10	63	15
TCGA-05-4405	274	82	36	70	36
TCGA-05-4410	842	234	193	68	64
TCGA-05-4415	165	37	10	24	17
TCGA-05-4417	249	73	12	31	18
TCGA-05-4418	136	56	21	36	90
TCGA-05-4420	189	73	23	37	54
TCGA-05-4422	11	2	23	12	7
TCGA-05-4424	507	181	147	67	30
TCGA-05-4425	0	0	1	54	0
TCGA-05-4426	12	2	7	32	4
TCGA-05-4427	742	219	90	74	161
TCGA-05-4430	221	65	25	28	20
TCGA-05-4432	406	125	39	68	139
TCGA-05-4433	0	1	0	44	0
TCGA-05-4434	9	0	14	23	13
TCGA-05-5420	45	13	9	38	12
TCGA-05-5423	62	41	21	47	17
TCGA-05-5425	457	102	50	57	64
TCGA-05-5428	195	66	159	29	29
TCGA-05-5429	0	1	6	40	0
TCGA-05-5715	10	4	99	38	0
TCGA-35-3615	39	18	54	23	14
TCGA-35-4122	126	50	51	41	148
TCGA-35-4123	228	76	19	34	24
TCGA-35-5375	250	58	52	59	110
TCGA-38-4625	438	142	157	32	0
TCGA-38-4626	248	45	25	3	12
TCGA-38-4627	6	3	5	19	3
TCGA-38-4628	51	10	24	50	16
TCGA-38-4629	151	37	48	46	76
TCGA-38-4630	8	13	81	61	2
TCGA-38-4631	636	176	36	54	48
TCGA-38-4632	387	92	51	57	82
TCGA-38-6178	30	3	16	22	22
TCGA-38-7271	52	12	48	5	0
TCGA-38-A44F	4	0	1	12	2
TCGA-44-2655	160	41	17	13	0
TCGA-44-2656	1400	403	76	189	69
TCGA-44-2657	552	220	124	125	24
TCGA-44-2659	596	233	55	121	13
TCGA-44-2661	22	0	15	30	35
TCGA-44-2662	106	22	348	16	48
TCGA-44-2665	0	5	31	53	38
TCGA-44-2666	0	3	16	40	27
TCGA-44-2668	548	130	168	28	15
TCGA-44-3396	110	30	221	102	25
TCGA-44-3398	182	68	161	55	40
TCGA-44-3918	1548	474	232	107	0
TCGA-44-3919	26	2	52	32	24
TCGA-44-4112	580	230	273	108	32
TCGA-44-5643	122	16	77	106	9
TCGA-44-5644	1510	443	152	187	109
TCGA-44-5645	14	0	0	38	37
TCGA-44-6144	275	76	50	61	101
TCGA-44-6145	585	125	32	28	20
TCGA-44-6146	11	4	6	58	17
TCGA-44-6147	181	54	21	44	28
TCGA-44-6148	0	2	0	10	5
TCGA-44-6774	584	148	21	31	0
TCGA-44-6775	30	19	22	36	63
TCGA-44-6776	330	87	29	53	24
TCGA-44-6777	392	139	232	84	106
TCGA-44-6778	585	135	36	74	152
TCGA-44-6779	39	17	13	45	14
TCGA-44-7659	174	56	27	33	79
TCGA-44-7660	381	99	70	107	287
TCGA-44-7661	421	138	166	43	0
TCGA-44-7662	749	227	194	98	168
TCGA-44-7667	676	156	53	158	114
TCGA-44-7669	627	158	34	110	199
TCGA-44-7670	1590	511	414	127	103
TCGA-44-7671	315	71	44	84	68
TCGA-44-7672	302	35	36	32	4
TCGA-44-8117	544	205	51	85	47
TCGA-44-8119	453	112	32	109	69
TCGA-44-8120	429	169	44	55	55
TCGA-44-A479	242	72	29	37	0
TCGA-44-A47A	74	21	123	54	0
TCGA-44-A47B	11	4	5	36	5
TCGA-44-A47G	19	7	25	25	25
TCGA-44-A4SS	291	80	80	43	100
TCGA-44-A4SU	94	17	9	48	21
TCGA-49-4486	39	10	146	10	15
TCGA-49-4487	241	73	76	19	49
TCGA-49-4488	186	75	38	13	56
TCGA-49-4490	0	4	21	36	11
TCGA-49-4494	160	25	17	41	0
TCGA-49-4501	0	3	18	51	3
TCGA-49-4505	146	33	25	56	14
TCGA-49-4506	65	19	6	26	28
TCGA-49-4507	107	23	61	45	20
TCGA-49-4510	19	26	6	6	25
TCGA-49-4512	7	4	8	32	5
TCGA-49-4514	192	42	140	44	7
TCGA-49-6742	40	16	171	39	90
TCGA-49-6743	367	121	252	48	193
TCGA-49-6744	191	57	15	17	19
TCGA-49-6745	1	7	99	48	21
TCGA-49-6761	53	205	96	26	39
TCGA-49-6767	348	116	48	41	63
TCGA-49-AAQV	15	0	47	18	8
TCGA-49-AAR0	75	17	26	33	26
TCGA-49-AAR2	343	88	21	35	1
TCGA-49-AAR3	77	20	18	33	23
TCGA-49-AAR4	407	103	139	22	41
TCGA-49-AAR9	551	147	35	75	4
TCGA-49-AARE	968	337	132	86	154
TCGA-49-AARN	156	83	122	0	573
TCGA-49-AARO	540	152	46	0	0
TCGA-49-AARQ	530	166	123	44	30
TCGA-49-AARR	1	0	0	2	0
TCGA-4B-A93V	86	22	13	21	29
TCGA-50-5044	3	14	136	5	24
TCGA-50-5045	252	84	26	1	10
TCGA-50-5049	646	192	48	12	112
TCGA-50-5051	39	46	10	34	16
TCGA-50-5055	0	0	6	15	1
TCGA-50-5066	460	75	64	46	161
TCGA-50-5068	55	7	9	40	9
TCGA-50-5072	102	25	26	21	34
TCGA-50-5930	947	349	41	48	60
TCGA-50-5931	197	63	28	37	60
TCGA-50-5932	61	16	3	11	1
TCGA-50-5933	390	94	65	84	36
TCGA-50-5935	10	0	70	23	21
TCGA-50-5936	31	7	72	14	22
TCGA-50-5939	14	2	26	22	41
TCGA-50-5941	267	89	49	39	62
TCGA-50-5942	28	8	2	17	18
TCGA-50-5944	19	3	13	43	7
TCGA-50-5946	734	276	395	146	125
TCGA-50-6590	594	175	243	17	95
TCGA-50-6591	12	6	7	26	19
TCGA-50-6592	148	30	74	30	82
TCGA-50-6593	178	71	16	30	95
TCGA-50-6594	391	121	67	25	43
TCGA-50-6595	21	8	36	26	32
TCGA-50-6597	3	0	30	33	13
TCGA-50-6673	0	56	6	32	17
TCGA-50-7109	175	53	11	49	32
TCGA-50-8457	19	7	8	17	16
TCGA-50-8459	46	23	6	29	15
TCGA-50-8460	0	3	6	16	11
TCGA-53-7624	480	176	196	67	110
TCGA-53-7626	367	1100	40	0	0
TCGA-53-7813	104	30	2	31	20
TCGA-53-A4EZ	382	140	46	58	51
TCGA-55-1592	274	76	79	67	204
TCGA-55-1594	71	12	94	45	16
TCGA-55-1595	256	70	19	36	45
TCGA-55-1596	81	27	7	31	88
TCGA-55-5899	248	85	139	37	43
TCGA-55-6543	0	1	3	22	0
TCGA-55-6642	94	43	10	19	6
TCGA-55-6712	38	11	119	34	4
TCGA-55-6968	126	39	497	0	9
TCGA-55-6969	301	148	25	11	120
TCGA-55-6970	135	32	15	20	20
TCGA-55-6971	26	228	5	8	30
TCGA-55-6972	105	39	156	16	54
TCGA-55-6975	40	13	15	26	13
TCGA-55-6978	2	51	0	17	9
TCGA-55-6979	69	654	48	0	0
TCGA-55-6980	1	26	0	6	5
TCGA-55-6981	0	268	3	29	0
TCGA-55-6982	2	27	244	12	19
TCGA-55-6983	39	33	8	34	26
TCGA-55-6984	0	31	2	10	7
TCGA-55-6985	395	116	17	43	46
TCGA-55-6986	2	8	2	14	7
TCGA-55-6987	134	42	99	16	0
TCGA-55-7227	95	30	14	33	36
TCGA-55-7281	549	250	114	86	166
TCGA-55-7283	170	71	145	185	25
TCGA-55-7284	0	0	2	55	0
TCGA-55-7570	477	89	238	61	99
TCGA-55-7573	23	6	10	6	20
TCGA-55-7574	225	45	341	22	28
TCGA-55-7576	461	170	64	164	163
TCGA-55-7724	72	22	44	59	88
TCGA-55-7725	82	24	4	19	27
TCGA-55-7726	9	6	88	39	0
TCGA-55-7727	88	34	120	35	41
TCGA-55-7728	58	23	5	36	0
TCGA-55-7815	108	20	13	37	6
TCGA-55-7816	0	0	0	2	0
TCGA-55-7903	32	36	30	60	31
TCGA-55-7907	842	259	283	70	7
TCGA-55-7910	214	74	17	61	4
TCGA-55-7911	163	37	29	35	18
TCGA-55-7913	235	64	55	63	19
TCGA-55-7914	84	30	30	55	15
TCGA-55-7994	1076	387	117	134	185
TCGA-55-7995	446	98	128	33	124
TCGA-55-8085	104	31	138	48	10
TCGA-55-8087	2	1	9	23	5
TCGA-55-8089	733	202	508	73	40
TCGA-55-8090	41	18	3	20	31
TCGA-55-8091	8	0	1	29	0
TCGA-55-8092	248	104	176	101	98
TCGA-55-8094	295	116	27	43	80
TCGA-55-8096	108	15	19	33	4
TCGA-55-8097	26	24	16	62	14
TCGA-55-8203	344	97	13	75	7
TCGA-55-8204	87	13	101	36	33
TCGA-55-8205	271	65	232	26	54
TCGA-55-8206	6	1	8	19	4
TCGA-55-8207	190	72	20	59	47
TCGA-55-8208	110	17	218	18	83
TCGA-55-8299	294	78	30	32	82
TCGA-55-8301	194	45	36	38	49
TCGA-55-8302	570	140	40	61	37
TCGA-55-8505	4	0	17	21	6
TCGA-55-8506	793	360	29	941	0
TCGA-55-8507	737	233	52	89	108
TCGA-55-8508	110	32	19	44	24
TCGA-55-8510	226	81	43	26	19
TCGA-55-8511	365	116	106	64	64
TCGA-55-8512	19	7	6	12	8
TCGA-55-8513	0	0	0	9	0
TCGA-55-8514	207	63	16	65	2
TCGA-55-8614	97	14	40	86	63
TCGA-55-8615	71	14	5	29	45
TCGA-55-8616	384	123	25	75	0
TCGA-55-8619	0	1	0	26	0
TCGA-55-8620	320	108	25	98	67
TCGA-55-8621	38	10	10	14	17
TCGA-55-A48X	333	72	43	26	11
TCGA-55-A48Y	0	5	404	37	0
TCGA-55-A48Z	19	2	6	28	13
TCGA-55-A490	1026	347	154	72	54
TCGA-55-A491	236	82	42	44	63
TCGA-55-A492	197	45	24	55	37
TCGA-55-A493	151	29	97	32	31
TCGA-55-A494	151	41	20	87	0
TCGA-55-A4DF	159	46	697	59	23
TCGA-55-A4DG	525	181	35	62	45
TCGA-55-A57B	7	1	11	30	0
TCGA-62-8394	23	12	53	33	54
TCGA-62-8395	5	3	23	47	12
