Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-05-4244	1.46E+00	7.88E-01	6.37E-01	1.23E+00	1.32E+00
TCGA-05-4249	1.80E+00	9.74E-01	8.05E-01	1.27E+00	1.50E+00
TCGA-05-4250	1.96E+00	1.04E+00	1.08E+00	1.30E+00	2.07E+00
TCGA-05-4382	4.56E+00	3.18E+00	2.29E+00	2.01E+00	2.60E+00
TCGA-05-4384	1.08E+00	5.56E-01	5.59E-01	9.30E-01	1.06E+00
TCGA-05-4389	1.25E+00	5.95E-01	1.10E+00	1.50E+00	1.37E+00
TCGA-05-4390	2.36E+00	1.59E+00	7.92E-01	1.40E+00	1.67E+00
TCGA-05-4395	1.62E+00	8.09E-01	1.40E+00	1.16E+00	1.33E+00
TCGA-05-4396	2.74E+00	2.97E+00	1.05E+00	1.27E+00	4.27E-01
TCGA-05-4397	3.63E+00	1.84E+00	1.85E+00	2.09E+00	3.08E+00
TCGA-05-4398	3.32E+00	1.71E+00	1.56E+00	1.84E+00	2.63E+00
TCGA-05-4402	7.38E-01	2.81E-01	8.61E-01	8.43E-01	1.03E+00
TCGA-05-4403	9.91E-01	5.38E-01	5.03E-01	1.09E+00	1.16E+00
TCGA-05-4405	2.37E+00	1.30E+00	8.56E-01	1.51E+00	2.02E+00
TCGA-05-4410	3.79E+00	2.46E+00	2.10E+00	1.73E+00	2.95E+00
TCGA-05-4415	1.21E+00	8.56E-01	4.99E-01	7.52E-01	9.19E-01
TCGA-05-4417	1.53E+00	1.08E+00	5.20E-01	9.60E-01	1.41E+00
TCGA-05-4418	1.74E+00	1.01E+00	6.45E-01	1.37E+00	2.19E+00
TCGA-05-4420	1.80E+00	1.06E+00	6.96E-01	1.14E+00	1.62E+00
TCGA-05-4422	6.29E-01	1.69E-01	4.92E-01	4.17E-01	5.79E-01
TCGA-05-4424	3.07E+00	1.79E+00	1.65E+00	1.59E+00	2.56E+00
TCGA-05-4425	2.95E-01	0.00E+00	2.83E-01	5.04E-01	4.72E-01
TCGA-05-4426	5.52E-01	2.33E-01	2.81E-01	7.48E-01	6.91E-01
TCGA-05-4427	3.68E+00	1.94E+00	1.45E+00	2.28E+00	3.61E+00
