NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	176.035	64.449	26.661	49.181	0.462	0.773	30000.0
2	175.874	64.674	26.598	49.193	0.468	0.772	40000.0
3	174.382	63.35	26.449	48.855	0.456	0.775	40000.0
4	175.123	64.111	26.826	49.181	0.457	0.773	20000.0
5	175.245	63.368	26.62	48.696	0.451	0.779	30000.0
6	174.96	63.74	26.709	48.949	0.455	0.775	50000.0
7	176.433	64.548	26.892	49.539	0.466	0.768	50000.0
8	176.146	64.63	26.687	49.226	0.464	0.773	20000.0
9	174.95	63.656	26.746	48.998	0.455	0.775	30000.0
10	175.171	64.046	26.687	49.289	0.46	0.771	20000.0
11	175.791	64.276	26.711	49.24	0.461	0.771	50000.0
12	177.101	64.141	26.997	49.281	0.458	0.773	30000.0
13	175.971	64.226	26.823	49.285	0.459	0.771	80000.0
14	175.76	64.378	26.683	49.002	0.462	0.773	50000.0
15	176.282	63.941	26.806	48.959	0.456	0.777	20000.0
16	174.024	63.854	26.545	48.997	0.46	0.774	30000.0
17	175.189	64.058	26.581	49.166	0.459	0.773	60000.0
18	175.111	63.841	26.63	48.912	0.458	0.774	20000.0
19	175.768	63.837	26.701	48.983	0.451	0.776	50000.0
20	175.419	64.33	26.787	49.253	0.463	0.773	40000.0
21	175.504	64.218	26.793	49.245	0.459	0.773	30000.0
22	175.719	64.551	26.74	49.414	0.46	0.77	30000.0
23	175.741	64.513	26.869	49.525	0.467	0.77	30000.0
24	174.17	63.52	26.655	48.979	0.453	0.776	20000.0
25	176.139	64.222	26.821	49.22	0.459	0.773	30000.0
26	175.841	63.926	26.872	49.226	0.455	0.775	30000.0
27	175.191	64.03	26.693	49.176	0.459	0.774	40000.0
28	176.052	64.158	26.792	49.262	0.458	0.773	20000.0
29	175.771	64.099	26.822	49.255	0.456	0.773	20000.0
30	175.56	64.13	26.865	49.353	0.458	0.771	50000.0
31	174.922	63.772	26.709	48.969	0.455	0.776	30000.0
32	175.209	63.924	26.598	49.025	0.455	0.774	20000.0
33	174.766	63.884	26.629	48.983	0.459	0.774	20000.0
34	174.289	64.086	26.623	49.049	0.464	0.773	20000.0
35	175.666	64.241	26.654	49.193	0.46	0.772	30000.0
36	175.093	63.649	26.858	49.08	0.462	0.773	30000.0
37	176.091	64.411	26.748	49.406	0.463	0.77	70000.0
38	175.383	64.538	26.693	49.376	0.462	0.771	40000.0
39	175.204	64.441	26.687	49.465	0.466	0.768	30000.0
40	175.787	64.015	26.761	49.067	0.462	0.774	30000.0
41	175.812	64.067	26.71	49.226	0.457	0.772	40000.0
42	175.644	64.643	26.685	49.296	0.465	0.771	60000.0
43	176.89	64.525	26.937	49.486	0.463	0.769	40000.0
44	176.11	64.201	26.856	49.302	0.467	0.771	30000.0
45	175.611	64.316	26.71	49.197	0.461	0.772	20000.0
46	176.513	64.49	26.864	49.427	0.461	0.771	40000.0
47	175.935	64.595	26.896	49.573	0.465	0.768	60000.0
48	175.742	64.374	26.831	49.466	0.463	0.769	30000.0
49	176.799	64.372	26.967	49.378	0.463	0.772	50000.0
50	173.925	63.826	26.597	49.078	0.455	0.775	40000.0
51	175.386	64.162	26.671	49.19	0.464	0.771	40000.0
52	175.929	64.294	26.619	49.161	0.462	0.771	30000.0
53	176.883	64.304	27.043	49.268	0.457	0.773	20000.0
54	176.027	64.218	26.903	49.261	0.46	0.772	40000.0
55	174.657	63.755	26.48	48.878	0.456	0.775	30000.0
56	175.671	64.149	26.736	48.972	0.46	0.776	30000.0
57	176.2	64.576	26.849	49.508	0.467	0.768	50000.0
58	174.068	63.946	26.483	48.988	0.461	0.775	20000.0
59	175.398	63.842	26.695	49.054	0.457	0.773	30000.0
60	175.475	64.42	26.699	49.381	0.463	0.771	30000.0
61	176.707	64.413	26.937	49.429	0.46	0.772	30000.0
62	175.693	64.34	26.719	49.182	0.465	0.772	50000.0
63	176.239	64.354	26.861	49.157	0.458	0.775	30000.0
64	176.647	64.483	26.803	49.285	0.464	0.772	30000.0
65	176.255	64.199	26.64	49.316	0.457	0.77	40000.0
66	174.969	64.327	26.612	49.28	0.468	0.769	30000.0
67	176.857	64.508	26.88	49.307	0.462	0.771	30000.0
68	175.51	63.932	26.823	49.186	0.456	0.772	40000.0
69	175.232	64.042	26.561	49.031	0.459	0.774	50000.0
70	175.705	64.171	26.577	49.132	0.462	0.772	20000.0
71	175.203	64.04	26.599	49.046	0.461	0.773	40000.0
72	175.436	64.095	26.605	49.122	0.457	0.772	30000.0
73	175.298	63.676	26.553	48.976	0.453	0.776	50000.0
74	175.098	64.061	26.562	48.972	0.46	0.774	80000.0
75	174.585	64.282	26.602	49.212	0.465	0.77	60000.0
76	174.54	63.753	26.616	49.092	0.463	0.773	70000.0
77	175.593	64.131	26.792	49.224	0.458	0.774	40000.0
78	175.448	63.57	26.767	49.032	0.454	0.776	60000.0
79	175.035	64.161	26.552	49.113	0.458	0.773	20000.0
80	174.762	64.081	26.548	49.005	0.46	0.773	50000.0
81	176.253	64.407	26.912	49.235	0.461	0.774	30000.0
82	174.754	64.076	26.785	49.109	0.462	0.772	100000.0
83	176.0	63.827	26.533	48.859	0.451	0.777	20000.0
84	176.291	64.557	26.809	49.3	0.462	0.771	40000.0
85	175.37	64.195	26.812	49.475	0.463	0.77	30000.0
86	176.069	64.159	26.925	49.321	0.458	0.773	20000.0
87	174.746	63.881	26.641	49.168	0.459	0.773	30000.0
88	175.764	64.227	26.786	49.131	0.464	0.774	30000.0
89	174.952	64.23	26.676	49.321	0.459	0.771	30000.0
90	176.043	64.353	26.808	49.311	0.462	0.772	80000.0
91	176.412	64.306	26.966	49.282	0.461	0.773	40000.0
92	175.249	64.027	26.681	49.123	0.459	0.773	40000.0
93	174.57	63.917	26.643	49.217	0.458	0.772	50000.0
94	175.296	64.175	26.71	49.111	0.457	0.775	40000.0
95	176.045	64.432	26.895	49.339	0.461	0.773	20000.0
96	176.088	64.338	26.724	49.171	0.457	0.774	40000.0
97	175.876	64.566	26.757	49.381	0.463	0.771	40000.0
98	175.301	64.092	26.641	49.166	0.459	0.774	30000.0
99	175.161	64.122	26.672	49.19	0.462	0.772	40000.0
100	174.852	63.864	26.604	49.063	0.455	0.775	20000.0
