Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-05-4244	112	43	14	53	35	5
TCGA-05-4249	201	60	40	35	49	14
TCGA-05-4250	160	70	64	80	31	36
TCGA-05-4382	1296	415	242	25	64	71
TCGA-05-4384	75	18	14	25	19	19
TCGA-05-4389	40	30	100	38	55	35
TCGA-05-4390	438	132	17	38	46	40
TCGA-05-4395	125	35	116	6	39	31
TCGA-05-4396	0	1880	12	0	17	20
TCGA-05-4397	396	131	186	219	34	59
TCGA-05-4398	417	150	108	93	79	104
TCGA-05-4402	1	3	110	39	4	0
TCGA-05-4403	54	18	8	33	51	8
TCGA-05-4405	248	80	33	63	57	17
TCGA-05-4410	771	228	181	110	53	58
TCGA-05-4415	146	36	9	37	17	8
TCGA-05-4417	230	71	10	26	26	20
TCGA-05-4418	104	56	20	105	21	33
TCGA-05-4420	162	72	22	76	25	19
TCGA-05-4422	10	2	22	0	11	10
TCGA-05-4424	469	177	144	80	56	6
TCGA-05-4425	0	0	0	0	51	4
TCGA-05-4426	12	2	6	1	28	8
TCGA-05-4427	685	213	77	121	59	131
TCGA-05-4430	190	63	24	65	17	0
TCGA-05-4432	344	122	36	186	41	48
TCGA-05-4433	0	1	0	0	44	0
TCGA-05-4434	5	0	14	18	20	2
TCGA-05-5420	37	13	8	22	31	6
TCGA-05-5423	53	40	19	18	41	17
TCGA-05-5425	397	99	49	144	34	7
TCGA-05-5428	180	63	144	0	27	64
TCGA-05-5429	1	0	5	0	38	3
TCGA-05-5715	10	4	98	4	35	0
TCGA-35-3615	36	17	48	0	20	27
TCGA-35-4122	84	50	50	176	18	38
TCGA-35-4123	194	74	19	72	22	0
TCGA-35-5375	210	57	49	128	40	45
TCGA-38-4625	423	138	151	0	33	24
TCGA-38-4626	234	43	21	10	3	22
TCGA-38-4627	4	3	5	5	17	2
TCGA-38-4628	41	10	23	32	41	4
TCGA-38-4629	128	36	43	71	35	45
TCGA-38-4630	7	13	76	0	56	13
TCGA-38-4631	574	171	32	112	37	24
TCGA-38-4632	339	89	46	114	39	42
TCGA-38-6178	27	3	13	7	20	23
TCGA-38-7271	38	12	42	24	1	0
TCGA-38-A44F	4	0	1	0	10	4
TCGA-44-2655	146	39	16	16	9	5
TCGA-44-2656	1270	391	70	236	141	29
TCGA-44-2657	502	215	118	90	104	16
TCGA-44-2659	556	228	48	42	106	38
TCGA-44-2661	11	1	12	38	22	18
TCGA-44-2662	93	21	339	59	13	15
TCGA-44-2665	1	5	29	3	52	37
TCGA-44-2666	0	2	14	20	34	16
TCGA-44-2668	517	125	160	30	25	32
TCGA-44-3396	97	30	211	32	90	28
TCGA-44-3398	143	66	153	110	34	0
TCGA-44-3918	1430	461	224	167	79	0
TCGA-44-3919	2	3	44	72	15	0
TCGA-44-4112	532	225	263	87	91	25
TCGA-44-5643	111	16	71	11	95	26
TCGA-44-5644	1374	432	142	242	146	65
TCGA-44-5645	8	0	0	37	32	12
TCGA-44-6144	248	74	45	86	49	61
TCGA-44-6145	553	119	21	0	29	68
TCGA-44-6146	8	4	3	9	52	20
TCGA-44-6147	164	53	16	22	38	35
TCGA-44-6148	0	2	0	10	5	0
TCGA-44-6774	546	144	19	41	24	10
TCGA-44-6775	11	19	22	88	21	9
TCGA-44-6776	303	84	27	54	41	14
TCGA-44-6777	339	136	221	149	61	47
TCGA-44-6778	519	131	30	170	52	80
TCGA-44-6779	37	17	10	0	39	25
TCGA-44-7659	145	55	26	98	20	25
TCGA-44-7660	237	99	75	500	33	0
TCGA-44-7661	366	133	156	85	28	0
TCGA-44-7662	651	221	183	241	63	77
TCGA-44-7667	616	151	39	101	135	115
TCGA-44-7669	533	155	30	268	70	72
TCGA-44-7670	1513	495	383	43	120	191
TCGA-44-7671	242	70	42	179	49	0
TCGA-44-7672	277	33	32	25	26	16
TCGA-44-8117	493	201	48	106	65	19
TCGA-44-8119	403	108	27	116	84	37
TCGA-44-8120	380	165	39	93	39	36
TCGA-44-A479	226	70	26	16	31	11
TCGA-44-A47A	47	20	112	55	38	0
TCGA-44-A47B	10	4	3	0	32	12
TCGA-44-A47G	14	7	23	25	20	12
TCGA-44-A4SS	245	78	77	142	24	28
TCGA-44-A4SU	76	17	8	47	36	5
TCGA-49-4486	31	10	140	33	6	0
TCGA-49-4487	205	72	75	95	8	3
TCGA-49-4488	179	73	30	2	14	70
TCGA-49-4490	0	3	19	24	26	0
TCGA-49-4494	161	24	17	0	40	1
TCGA-49-4501	0	3	15	0	46	11
TCGA-49-4505	139	32	20	0	52	31
TCGA-49-4506	55	19	5	35	19	11
TCGA-49-4507	101	22	55	0	42	36
TCGA-49-4510	10	26	6	39	1	0
TCGA-49-4512	7	4	6	0	30	9
TCGA-49-4514	178	40	135	23	38	11
TCGA-49-6742	34	14	147	0	36	125
TCGA-49-6743	327	118	241	151	36	108
TCGA-49-6744	169	56	13	39	11	11
TCGA-49-6745	0	6	94	23	41	12
TCGA-49-6761	55	203	89	0	26	46
TCGA-49-6767	310	113	47	99	27	20
TCGA-49-AAQV	6	1	41	29	11	0
TCGA-49-AAR0	63	16	23	22	27	26
TCGA-49-AAR2	316	85	20	35	28	4
TCGA-49-AAR3	61	20	18	49	23	0
TCGA-49-AAR4	370	100	133	68	15	26
TCGA-49-AAR9	507	143	29	42	63	28
TCGA-49-AARE	869	329	123	221	55	80
TCGA-49-AARN	142	73	42	0	0	677
TCGA-49-AARO	532	150	46	1	2	7
TCGA-49-AARQ	496	161	114	33	39	50
TCGA-49-AARR	1	0	0	1	1	0
TCGA-4B-A93V	77	22	12	26	17	17
TCGA-50-5044	0	14	131	35	2	0
TCGA-50-5045	237	82	25	24	0	5
TCGA-50-5049	561	187	49	202	0	11
TCGA-50-5051	28	45	9	36	25	2
TCGA-50-5055	0	0	5	0	14	3
TCGA-50-5066	408	72	54	128	32	112
TCGA-50-5068	51	6	9	14	35	5
TCGA-50-5072	95	24	22	14	19	34
TCGA-50-5930	864	340	35	138	29	39
TCGA-50-5931	164	62	29	109	21	0
TCGA-50-5932	53	15	3	13	8	0
TCGA-50-5933	355	91	59	59	71	34
TCGA-50-5935	4	0	66	29	18	7
TCGA-50-5936	30	6	69	0	15	26
TCGA-50-5939	12	2	23	13	20	35
TCGA-50-5941	223	88	48	115	23	9
TCGA-50-5942	23	8	1	16	14	11
TCGA-50-5944	12	3	12	24	34	0
TCGA-50-5946	629	270	385	292	100	0
TCGA-50-6590	516	171	238	199	0	0
TCGA-50-6591	8	6	5	15	22	14
TCGA-50-6592	121	29	70	90	19	35
TCGA-50-6593	146	70	14	108	16	36
TCGA-50-6594	348	118	64	92	13	12
TCGA-50-6595	12	8	33	36	19	15
TCGA-50-6597	2	0	26	0	30	21
TCGA-50-6673	0	55	6	20	26	4
TCGA-50-7109	152	52	10	59	38	9
TCGA-50-8457	14	8	8	21	13	3
TCGA-50-8459	41	22	5	15	25	11
TCGA-50-8460	0	3	5	2	15	11
TCGA-53-7624	422	172	188	153	47	47
TCGA-53-7626	375	1091	41	0	0	0
TCGA-53-7813	88	29	2	40	23	5
TCGA-53-A4EZ	343	137	41	79	45	32
TCGA-55-1592	199	76	75	265	30	55
TCGA-55-1594	60	12	90	32	37	7
TCGA-55-1595	231	68	17	60	27	23
TCGA-55-1596	52	28	9	118	14	13
TCGA-55-5899	231	83	132	30	32	44
TCGA-55-6543	0	1	3	2	20	0
TCGA-55-6642	89	43	8	1	18	13
TCGA-55-6712	31	11	115	21	28	0
TCGA-55-6968	114	38	481	38	0	0
TCGA-55-6969	262	145	21	111	0	66
TCGA-55-6970	120	31	13	30	14	14
TCGA-55-6971	23	227	4	18	7	18
TCGA-55-6972	96	36	142	0	16	80
TCGA-55-6975	37	13	13	9	23	12
TCGA-55-6978	4	51	0	0	17	7
TCGA-55-6979	80	644	47	0	0	0
TCGA-55-6980	0	24	0	9	5	0
TCGA-55-6981	0	269	3	0	27	1
TCGA-55-6982	0	26	237	31	10	0
TCGA-55-6983	26	32	8	44	24	6
TCGA-55-6984	0	29	2	8	8	3
TCGA-55-6985	350	113	17	111	26	0
TCGA-55-6986	0	8	2	13	10	0
TCGA-55-6987	119	41	95	24	12	0
TCGA-55-7227	85	30	12	25	29	27
TCGA-55-7281	447	245	107	264	46	56
TCGA-55-7283	156	69	137	35	165	34
TCGA-55-7284	0	0	0	0	48	9
TCGA-55-7570	374	87	225	255	23	0
TCGA-55-7573	18	6	9	16	4	12
TCGA-55-7574	157	45	310	149	0	0
TCGA-55-7576	391	167	56	201	126	81
TCGA-55-7724	46	23	44	120	40	12
TCGA-55-7725	75	23	2	25	15	16
TCGA-55-7726	11	5	89	0	37	0
TCGA-55-7727	83	33	112	11	32	47
TCGA-55-7728	53	23	4	11	31	0
TCGA-55-7815	102	19	11	0	34	18
TCGA-55-7816	0	0	0	0	2	0
TCGA-55-7903	25	36	27	29	50	22
TCGA-55-7907	755	251	271	136	48	0
TCGA-55-7910	189	72	16	43	50	0
TCGA-55-7911	141	36	28	46	26	5
TCGA-55-7913	211	62	51	47	51	14
TCGA-55-7914	69	30	29	42	44	0
TCGA-55-7994	930	379	117	377	78	18
TCGA-55-7995	399	95	120	115	22	78
TCGA-55-8085	99	30	131	0	45	26
TCGA-55-8087	0	1	8	8	20	3
TCGA-55-8089	668	196	484	89	59	60
TCGA-55-8090	27	18	4	51	12	1
TCGA-55-8091	8	0	0	1	28	1
TCGA-55-8092	235	101	159	8	94	130
TCGA-55-8094	267	113	20	59	34	68
TCGA-55-8096	102	14	17	8	29	9
TCGA-55-8097	25	23	14	5	57	18
TCGA-55-8203	310	95	11	55	61	4
TCGA-55-8204	71	12	97	53	27	10
TCGA-55-8205	220	63	222	135	8	0
TCGA-55-8206	6	1	7	1	17	6
TCGA-55-8207	154	70	20	104	40	0
TCGA-55-8208	82	17	212	110	6	19
TCGA-55-8299	253	76	28	113	17	29
TCGA-55-8301	169	44	36	79	26	8
TCGA-55-8302	506	136	39	127	40	0
TCGA-55-8505	3	0	16	7	19	3
TCGA-55-8506	760	355	21	103	848	36
TCGA-55-8507	665	226	48	170	63	47
TCGA-55-8508	102	31	15	12	39	30
TCGA-55-8510	202	79	41	52	18	3
TCGA-55-8511	351	112	93	0	61	98
TCGA-55-8512	12	7	6	17	8	2
TCGA-55-8513	0	0	0	0	9	0
TCGA-55-8514	187	61	14	36	54	1
TCGA-55-8614	67	14	40	115	63	1
TCGA-55-8615	59	14	3	41	23	24
TCGA-55-8616	354	120	24	47	62	0
TCGA-55-8619	1	1	0	0	25	0
TCGA-55-8620	272	106	24	129	73	14
TCGA-55-8621	28	10	10	33	8	0
TCGA-55-A48X	305	70	40	37	19	14
TCGA-55-A48Y	0	5	384	0	36	21
TCGA-55-A48Z	15	2	5	15	22	9
TCGA-55-A490	948	338	144	113	56	54
TCGA-55-A491	201	80	41	105	28	12
TCGA-55-A492	173	43	21	59	42	20
TCGA-55-A493	143	27	89	0	31	50
TCGA-55-A494	151	40	20	0	83	5
TCGA-55-A4DF	140	45	673	66	52	8
TCGA-55-A4DG	461	175	34	138	40	0
TCGA-55-A57B	6	1	10	4	26	2
TCGA-62-8394	11	12	52	63	24	13
TCGA-62-8395	0	3	22	29	36	0
TCGA-62-8397	6	1	0	0	15	10
TCGA-62-8398	36	11	10	5	25	17
TCGA-62-8399	206	70	266	62	58	0
TCGA-62-8402	8	0	6	12	36	12
TCGA-62-A46O	482	176	181	157	53	46
TCGA-62-A46P	187	71	9	42	45	0
TCGA-62-A46R	61	25	30	12	44	37
TCGA-62-A46S	39	27	13	0	44	37
TCGA-62-A46U	14	1	8	1	24	4
TCGA-62-A46V	7	2	5	6	35	16
TCGA-62-A46Y	10	0	0	0	21	9
TCGA-62-A470	48	13	13	14	50	9
TCGA-62-A471	0	6	75	23	20	24
TCGA-62-A472	11	8	5	16	16	16
TCGA-64-1676	437	139	26	70	46	24
TCGA-64-1677	53	21	106	59	28	0
TCGA-64-1679	431	86	65	10	25	19
TCGA-64-1680	14	0	33	0	31	0
TCGA-64-1681	7	1	27	11	12	48
TCGA-64-5774	78	34	8	29	27	0
TCGA-64-5775	297	132	31	84	46	2
TCGA-64-5778	333	93	46	52	33	27
TCGA-64-5779	189	104	18	82	42	3
TCGA-64-5781	751	222	179	74	57	134
TCGA-64-5815	114	34	7	19	33	7
TCGA-67-3770	125	47	7	50	22	22
TCGA-67-3771	362	168	396	339	35	37
TCGA-67-3772	11	0	6	19	37	6
TCGA-67-3773	57	22	3	7	22	17
TCGA-67-3774	57	13	11	51	9	10
TCGA-67-4679	217	46	16	43	26	17
TCGA-67-6215	0	0	0	0	0	137
TCGA-67-6216	0	3	15	18	11	0
TCGA-67-6217	96	43	12	18	36	34
TCGA-69-7760	16	1	6	11	31	23
TCGA-69-7761	13	1	1	3	8	10
TCGA-69-7763	11	14	1	17	48	11
TCGA-69-7764	36	5	9	43	22	2
TCGA-69-7765	372	142	86	109	8	38
TCGA-69-7973	166	72	17	3	39	14
TCGA-69-7974	297	120	46	131	52	0
TCGA-69-7978	323	100	235	85	30	0
TCGA-69-7979	1108	392	128	90	90	0
TCGA-69-7980	396	146	220	192	23	0
TCGA-69-8253	104	23	34	0	25	24
TCGA-69-8254	31	5	0	8	30	23
TCGA-69-8255	104	44	45	68	38	68
TCGA-69-A59K	359	123	57	0	77	21
TCGA-71-6725	9	6	7	0	51	8
TCGA-71-8520	17	5	23	7	50	3
TCGA-73-4658	124	48	172	0	47	58
TCGA-73-4659	180	27	14	20	25	8
TCGA-73-4662	142	44	21	28	25	17
TCGA-73-4666	243	81	27	55	40	41
TCGA-73-4668	414	85	20	89	42	0
TCGA-73-4670	154	82	25	67	37	87
TCGA-73-4675	0	13	5	40	17	10
TCGA-73-4676	22	8	1	35	24	24
TCGA-73-4677	153	49	19	41	30	19
TCGA-73-7498	49	23	1	26	29	13
TCGA-73-7499	3	2	21	34	25	0
TCGA-73-A9RS	690	243	93	79	32	37
TCGA-75-5122	39	15	37	35	40	2
TCGA-75-5125	75	12	55	41	32	0
TCGA-75-5126	394	105	231	51	27	10
TCGA-75-5146	124	50	14	21	7	23
TCGA-75-5147	0	1	12	5	21	8
TCGA-75-6203	0	1	0	0	18	0
TCGA-75-6205	3	5	10	18	10	16
TCGA-75-6206	47	5	19	32	6	0
TCGA-75-6207	8	4	19	31	22	0
TCGA-75-6211	268	66	28	59	38	1
TCGA-75-6212	1	1	3	0	13	5
TCGA-75-6214	355	121	229	144	47	7
TCGA-75-7025	0	2	7	0	27	7
TCGA-75-7027	177	43	11	41	24	17
TCGA-75-7030	3	2	0	0	12	2
TCGA-75-7031	115	19	25	45	37	25
