Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-05-4244	93	42	43	12	36	31	5
TCGA-05-4249	174	58	54	38	23	44	8
TCGA-05-4250	135	69	63	61	58	27	28
TCGA-05-4382	1240	401	0	231	118	56	67
TCGA-05-4384	61	18	32	12	15	16	16
TCGA-05-4389	39	28	12	97	42	50	30
TCGA-05-4390	385	129	94	13	21	39	30
TCGA-05-4395	106	34	39	111	0	35	27
TCGA-05-4396	0	1875	0	11	0	20	23
TCGA-05-4397	340	127	141	180	166	28	43
TCGA-05-4398	394	145	27	103	127	69	86
TCGA-05-4402	3	3	3	109	35	4	0
TCGA-05-4403	20	19	78	6	0	44	5
TCGA-05-4405	227	77	44	32	54	51	13
TCGA-05-4410	674	222	177	171	68	44	45
TCGA-05-4415	123	35	48	7	20	14	6
TCGA-05-4417	213	69	24	8	32	22	15
TCGA-05-4418	66	55	110	16	50	16	26
TCGA-05-4420	146	70	40	20	65	21	14
TCGA-05-4422	11	2	0	21	0	11	10
TCGA-05-4424	440	172	40	141	88	50	1
TCGA-05-4425	0	0	0	0	1	49	5
TCGA-05-4426	7	2	10	6	0	26	6
TCGA-05-4427	610	208	132	71	114	50	101
TCGA-05-4430	189	60	1	23	71	15	0
TCGA-05-4432	277	120	170	32	110	33	35
TCGA-05-4433	0	1	0	0	3	41	0
TCGA-05-4434	0	0	19	13	9	17	1
TCGA-05-5420	16	13	52	6	0	26	4
TCGA-05-5423	48	39	14	17	18	37	15
TCGA-05-5425	334	96	141	45	83	28	3
TCGA-05-5428	177	61	7	138	0	28	67
TCGA-05-5429	2	0	0	5	0	35	5
TCGA-05-5715	11	4	0	94	9	33	0
TCGA-35-3615	37	16	0	47	0	20	28
TCGA-35-4122	35	49	152	47	95	13	25
TCGA-35-4123	154	72	102	16	19	18	0
TCGA-35-5375	205	54	14	48	137	35	36
TCGA-38-4625	418	135	0	146	0	35	35
TCGA-38-4626	214	42	22	20	17	1	17
TCGA-38-4627	0	3	14	4	0	14	1
TCGA-38-4628	14	10	69	21	0	36	1
TCGA-38-4629	83	36	112	38	24	29	36
TCGA-38-4630	0	13	20	72	0	49	11
TCGA-38-4631	458	169	241	26	16	30	10
TCGA-38-4632	276	87	143	41	58	32	32
TCGA-38-6178	17	3	24	12	0	18	19
TCGA-38-7271	29	11	20	43	14	0	0
TCGA-38-A44F	0	0	8	1	0	8	2
TCGA-44-2655	136	38	18	14	10	8	7
TCGA-44-2656	1163	380	172	62	214	123	23
TCGA-44-2657	428	210	148	111	45	92	11
TCGA-44-2659	505	223	84	41	33	96	36
TCGA-44-2661	0	0	60	10	0	19	13
TCGA-44-2662	94	19	0	331	69	13	14
TCGA-44-2665	2	5	0	27	20	45	28
TCGA-44-2666	0	2	0	13	31	28	12
TCGA-44-2668	480	120	36	153	48	23	29
TCGA-44-3396	59	30	92	202	0	81	24
TCGA-44-3398	140	62	0	147	129	28	0
TCGA-44-3918	1316	448	162	214	153	68	0
TCGA-44-3919	0	2	46	42	33	13	0
TCGA-44-4112	460	220	138	254	51	82	18
TCGA-44-5643	27	17	151	61	0	69	5
TCGA-44-5644	1167	423	394	130	132	123	32
TCGA-44-5645	0	0	31	0	22	28	8
TCGA-44-6144	223	72	59	42	76	43	48
TCGA-44-6145	548	115	0	18	13	31	65
TCGA-44-6146	0	3	35	2	0	42	14
TCGA-44-6147	104	52	112	13	0	28	19
TCGA-44-6148	0	2	0	0	10	5	0
TCGA-44-6774	528	139	3	17	67	21	9
TCGA-44-6775	0	19	48	21	55	18	9
TCGA-44-6776	291	80	0	26	81	35	10
TCGA-44-6777	266	133	181	209	64	55	45
TCGA-44-6778	444	127	167	25	115	43	61
TCGA-44-6779	21	16	31	8	0	34	18
TCGA-44-7659	134	53	31	25	89	17	20
TCGA-44-7660	152	97	277	70	324	24	0
TCGA-44-7661	329	130	70	152	62	25	0
TCGA-44-7662	519	217	298	171	123	50	58
TCGA-44-7667	473	149	306	29	0	115	85
TCGA-44-7669	422	152	264	25	163	56	46
TCGA-44-7670	1460	479	0	369	170	106	161
