Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-05-4244	2.54E+00	8.00E-01	2.55E+00	5.68E-01	1.68E+00	1.10E+00	5.78E-01
TCGA-05-4249	3.29E+00	9.98E-01	3.44E+00	7.95E-01	1.90E+00	1.17E+00	9.03E-01
TCGA-05-4250	2.78E+00	1.05E+00	3.13E+00	1.12E+00	2.31E+00	1.16E+00	1.61E+00
TCGA-05-4382	1.37E+01	3.56E+00	1.40E+01	2.24E+00	4.74E+00	2.04E+00	2.35E+00
TCGA-05-4384	1.67E+00	5.49E-01	1.90E+00	5.38E-01	1.20E+00	7.45E-01	1.18E+00
TCGA-05-4389	1.47E+00	6.30E-01	2.20E+00	1.09E+00	2.03E+00	1.10E+00	1.37E+00
TCGA-05-4390	5.10E+00	1.63E+00	5.50E+00	8.15E-01	2.98E+00	1.31E+00	1.32E+00
TCGA-05-4395	2.12E+00	7.86E-01	2.33E+00	1.44E+00	1.29E+00	1.18E+00	1.46E+00
TCGA-05-4396	2.99E+00	3.36E+00	2.76E+00	1.01E+00	4.26E-01	1.03E+00	1.15E+00
TCGA-05-4397	5.80E+00	1.84E+00	5.77E+00	1.91E+00	4.38E+00	1.53E+00	2.26E+00
TCGA-05-4398	5.71E+00	1.72E+00	5.62E+00	1.56E+00	3.74E+00	1.60E+00	1.92E+00
TCGA-05-4402	5.41E-01	2.56E-01	1.12E+00	9.76E-01	1.08E+00	5.37E-01	8.14E-01
TCGA-05-4403	1.62E+00	5.49E-01	2.10E+00	4.98E-01	1.41E+00	1.01E+00	5.72E-01
TCGA-05-4405	3.41E+00	1.29E+00	3.43E+00	8.59E-01	1.92E+00	1.19E+00	1.43E+00
TCGA-05-4410	8.56E+00	2.54E+00	8.77E+00	2.24E+00	4.83E+00	1.60E+00	1.66E+00
TCGA-05-4415	2.39E+00	8.43E-01	2.34E+00	4.97E-01	1.27E+00	7.29E-01	4.47E-01
TCGA-05-4417	3.42E+00	1.08E+00	3.60E+00	5.28E-01	1.86E+00	8.67E-01	9.06E-01
TCGA-05-4418	2.32E+00	1.01E+00	3.11E+00	7.23E-01	2.55E+00	1.16E+00	1.55E+00
TCGA-05-4420	2.95E+00	1.08E+00	2.79E+00	6.92E-01	1.75E+00	1.02E+00	1.03E+00
TCGA-05-4422	6.83E-01	1.76E-01	7.54E-01	5.17E-01	5.21E-01	3.98E-01	4.12E-01
TCGA-05-4424	5.48E+00	1.80E+00	5.67E+00	1.53E+00	3.23E+00	1.38E+00	1.42E+00
TCGA-05-4425	2.51E-01	0.00E+00	4.98E-01	2.75E-01	5.19E-01	5.26E-01	3.61E-01
TCGA-05-4426	5.53E-01	2.30E-01	7.19E-01	2.71E-01	7.59E-01	7.31E-01	6.03E-01
TCGA-05-4427	8.12E+00	1.97E+00	7.98E+00	1.56E+00	5.22E+00	1.58E+00	2.78E+00
TCGA-05-4430	3.26E+00	1.04E+00	3.46E+00	7.75E-01	1.96E+00	8.81E-01	7.20E-01
TCGA-05-4432	4.77E+00	1.50E+00	4.95E+00	1.06E+00	3.57E+00	1.42E+00	1.63E+00
TCGA-05-4433	2.22E-01	1.28E-01	2.69E-01	1.96E-01	5.31E-01	5.25E-01	3.17E-01
TCGA-05-4434	4.24E-01	0.00E+00	8.16E-01	4.16E-01	8.85E-01	6.71E-01	6.38E-01
TCGA-05-5420	1.30E+00	4.12E-01	1.49E+00	3.98E-01	9.51E-01	8.44E-01	6.64E-01
TCGA-05-5423	1.65E+00	7.86E-01	1.85E+00	5.11E-01	1.22E+00	8.46E-01	7.05E-01
TCGA-05-5425	5.29E+00	1.61E+00	5.30E+00	9.81E-01	2.90E+00	1.46E+00	1.16E+00
TCGA-05-5428	3.51E+00	1.34E+00	3.22E+00	1.86E+00	1.26E+00	1.05E+00	1.93E+00
TCGA-05-5429	3.28E-01	0.00E+00	4.35E-01	3.46E-01	3.62E-01	5.12E-01	4.29E-01
TCGA-05-5715	6.93E-01	3.06E-01	5.63E-01	9.27E-01	5.30E-01	8.07E-01	6.77E-01
TCGA-35-3615	1.10E+00	5.93E-01	9.13E-01	9.99E-01	6.86E-01	6.15E-01	8.33E-01
TCGA-35-4122	2.66E+00	1.01E+00	3.15E+00	9.42E-01	3.19E+00	1.17E+00	2.18E+00
TCGA-35-4123	3.12E+00	1.17E+00	3.58E+00	5.59E-01	2.30E+00	8.51E-01	6.75E-01
TCGA-35-5375	3.54E+00	1.18E+00	3.52E+00	9.71E-01	2.51E+00	1.24E+00	1.74E+00
TCGA-38-4625	5.13E+00	1.79E+00	5.16E+00	1.79E+00	2.21E+00	1.15E+00	1.68E+00
TCGA-38-4626	3.23E+00	1.07E+00	3.30E+00	5.57E-01	1.54E+00	4.89E-01	1.13E+00
TCGA-38-4627	3.50E-01	2.46E-01	4.89E-01	2.49E-01	4.52E-01	4.63E-01	2.59E-01
TCGA-38-4628	1.52E+00	4.65E-01	1.94E+00	6.58E-01	1.28E+00	8.56E-01	6.86E-01
TCGA-38-4629	2.75E+00	8.50E-01	2.88E+00	8.48E-01	2.14E+00	1.04E+00	1.27E+00
TCGA-38-4630	7.14E-01	4.13E-01	9.59E-01	8.94E-01	7.66E-01	8.43E-01	1.01E+00
TCGA-38-4631	7.51E+00	1.79E+00	7.89E+00	1.14E+00	3.81E+00	1.36E+00	1.67E+00
TCGA-38-4632	4.63E+00	1.35E+00	4.81E+00	1.08E+00	2.57E+00	1.44E+00	1.38E+00
TCGA-38-6178	9.78E-01	2.75E-01	1.13E+00	6.08E-01	9.47E-01	6.26E-01	8.89E-01
TCGA-38-7271	1.46E+00	5.15E-01	1.45E+00	6.40E-01	7.89E-01	3.22E-01	2.02E-01
TCGA-38-A44F	2.50E-01	1.41E-02	3.80E-01	1.24E-01	2.27E-01	4.03E-01	3.09E-01
TCGA-44-2655	2.52E+00	9.50E-01	2.23E+00	5.65E-01	1.04E+00	5.51E-01	6.15E-01
TCGA-44-2656	1.44E+01	3.15E+00	1.43E+01	1.65E+00	7.23E+00	2.45E+00	2.02E+00
TCGA-44-2657	7.59E+00	2.44E+00	8.10E+00	1.62E+00	3.68E+00	2.23E+00	1.16E+00
