Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-05-4244	86	38	24	10	43	32	27	2
TCGA-05-4249	117	54	135	35	8	2	41	7
TCGA-05-4250	139	62	0	56	84	53	24	23
TCGA-05-4382	1082	354	275	218	0	68	51	65
TCGA-05-4384	46	16	46	12	7	16	14	13
TCGA-05-4389	41	26	16	96	1	43	47	28
TCGA-05-4390	354	113	94	9	59	19	36	27
TCGA-05-4395	100	29	0	106	62	3	31	21
TCGA-05-4396	0	1874	0	12	0	0	21	22
TCGA-05-4397	283	115	167	172	101	127	22	38
TCGA-05-4398	293	133	209	99	0	82	61	74
TCGA-05-4402	0	2	20	107	0	25	3	0
TCGA-05-4403	5	19	57	4	44	0	40	3
TCGA-05-4405	202	68	51	27	58	35	46	11
TCGA-05-4410	541	199	341	162	49	22	43	44
TCGA-05-4415	103	31	52	5	29	16	12	5
TCGA-05-4417	195	61	22	5	46	22	20	12
TCGA-05-4418	36	54	85	13	84	37	12	18
TCGA-05-4420	128	64	45	18	38	54	18	11
TCGA-05-4422	9	1	0	21	6	0	10	8
TCGA-05-4424	394	154	107	134	36	55	48	4
TCGA-05-4425	0	0	0	0	0	6	45	4
TCGA-05-4426	2	2	18	6	0	0	23	6
TCGA-05-4427	470	188	348	65	22	51	47	95
TCGA-05-4430	167	54	18	20	32	57	11	0
TCGA-05-4432	154	114	343	30	16	59	30	31
TCGA-05-4433	0	1	0	0	0	6	38	0
TCGA-05-4434	0	0	10	12	15	7	15	0
TCGA-05-5420	21	12	0	4	53	0	25	2
TCGA-05-5423	17	39	63	17	0	7	33	12
TCGA-05-5425	273	85	170	39	77	55	25	6
TCGA-05-5428	158	54	8	132	46	0	24	56
TCGA-05-5429	3	0	0	4	0	0	35	5
TCGA-05-5715	6	3	13	94	0	4	31	0
TCGA-35-3615	38	15	0	45	3	2	19	26
TCGA-35-4122	17	48	107	43	91	80	9	21
TCGA-35-4123	161	65	0	11	104	24	16	0
TCGA-35-5375	145	48	131	46	0	93	31	35
TCGA-38-4625	401	118	3	139	40	0	33	35
TCGA-38-4626	157	36	107	18	0	0	1	14
TCGA-38-4627	0	2	15	4	0	0	14	1
TCGA-38-4628	8	10	44	19	34	0	34	2
TCGA-38-4629	26	35	191	38	0	5	29	34
TCGA-38-4630	3	12	0	70	23	0	47	10
TCGA-38-4631	362	154	275	19	105	0	27	8
TCGA-38-4632	237	77	118	35	106	43	27	26
TCGA-38-6178	17	2	0	10	33	0	16	15
TCGA-38-7271	21	11	31	41	0	13	0	0
TCGA-38-A44F	0	0	0	0	9	0	8	2
TCGA-44-2655	126	32	0	11	43	8	6	5
TCGA-44-2656	1004	334	393	51	78	141	112	24
TCGA-44-2657	412	191	89	103	105	48	85	12
TCGA-44-2659	494	200	0	32	142	35	87	28
TCGA-44-2661	0	1	4	8	58	0	18	13
TCGA-44-2662	91	15	18	325	0	57	13	21
TCGA-44-2665	4	4	0	28	0	25	43	23
TCGA-44-2666	0	2	0	14	0	33	26	11
TCGA-44-2668	458	99	57	146	52	23	23	31
TCGA-44-3396	0	30	167	192	0	0	74	25
TCGA-44-3398	149	55	4	147	0	127	24	0
TCGA-44-3918	1313	389	10	196	239	154	60	0
TCGA-44-3919	0	2	0	39	57	27	11	0
TCGA-44-4112	418	199	153	244	72	39	78	20
TCGA-44-5643	49	15	0	55	137	0	68	6
TCGA-44-5644	928	383	707	120	28	75	118	42
TCGA-44-5645	0	0	0	0	45	15	25	4
TCGA-44-6144	186	64	78	39	64	54	38	40
TCGA-44-6145	542	91	0	15	20	35	28	59
TCGA-44-6146	0	3	0	0	46	0	38	9
TCGA-44-6147	111	48	5	8	114	0	26	16
TCGA-44-6148	0	2	0	0	0	11	4	0
TCGA-44-6774	424	123	164	13	10	25	18	7
TCGA-44-6775	1	19	7	19	54	50	15	5
TCGA-44-6776	281	69	0	23	32	80	29	9
TCGA-44-6777	172	125	286	201	54	24	51	40
TCGA-44-6778	324	114	338	23	18	72	39	54
TCGA-44-6779	21	15	0	6	40	0	31	15
TCGA-44-7659	123	47	0	20	84	72	10	13
TCGA-44-7660	0	96	531	70	0	227	20	0
TCGA-44-7661	288	117	142	150	0	46	25	0
TCGA-44-7662	433	198	269	158	187	100	42	49
TCGA-44-7667	357	136	329	22	132	0	105	76
TCGA-44-7669	210	145	572	23	9	78	51	40
TCGA-44-7670	1383	417	0	346	236	135	90	138
