Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-05-4244	2.46E+00	8.64E-01	2.62E+00	5.65E-01	1.98E+00	1.45E+00	9.80E-01	1.74E-01
TCGA-05-4249	3.75E+00	1.06E+00	4.04E+00	8.50E-01	2.65E+00	1.75E+00	1.15E+00	8.47E-01
TCGA-05-4250	3.25E+00	1.37E+00	3.81E+00	1.13E+00	2.82E+00	1.99E+00	1.13E+00	1.20E+00
TCGA-05-4382	1.89E+01	5.65E+00	2.01E+01	2.83E+00	8.35E+00	2.85E+00	1.88E+00	1.87E+00
TCGA-05-4384	1.87E+00	6.00E-01	2.18E+00	5.59E-01	1.61E+00	1.16E+00	7.79E-01	9.74E-01
TCGA-05-4389	1.39E+00	7.65E-01	2.04E+00	1.20E+00	2.19E+00	1.96E+00	1.20E+00	1.18E+00
TCGA-05-4390	6.17E+00	2.41E+00	6.60E+00	7.54E-01	4.25E+00	2.10E+00	1.35E+00	1.16E+00
TCGA-05-4395	2.81E+00	8.39E-01	3.40E+00	1.59E+00	2.36E+00	1.26E+00	1.05E+00	1.25E+00
TCGA-05-4396	9.79E+00	8.93E+00	2.72E+00	1.01E+00	2.72E+00	5.48E-01	9.52E-01	1.10E+00
TCGA-05-4397	6.30E+00	2.21E+00	5.62E+00	2.26E+00	4.40E+00	4.22E+00	1.44E+00	2.02E+00
TCGA-05-4398	7.66E+00	2.09E+00	7.46E+00	1.49E+00	4.54E+00	2.47E+00	1.63E+00	1.55E+00
TCGA-05-4402	5.19E-01	2.52E-01	1.01E+00	1.07E+00	1.24E+00	1.13E+00	5.18E-01	8.57E-01
TCGA-05-4403	1.60E+00	5.70E-01	1.88E+00	4.60E-01	1.71E+00	1.38E+00	1.00E+00	5.45E-01
TCGA-05-4405	3.74E+00	1.62E+00	3.73E+00	8.67E-01	2.75E+00	1.67E+00	1.13E+00	1.30E+00
TCGA-05-4410	1.05E+01	3.46E+00	1.19E+01	2.33E+00	6.45E+00	3.49E+00	1.66E+00	1.62E+00
TCGA-05-4415	3.16E+00	1.00E+00	3.12E+00	5.06E-01	1.86E+00	1.20E+00	7.01E-01	3.47E-01
TCGA-05-4417	3.93E+00	1.32E+00	4.19E+00	4.91E-01	2.85E+00	1.52E+00	8.07E-01	7.32E-01
TCGA-05-4418	2.81E+00	1.11E+00	3.51E+00	7.06E-01	2.90E+00	2.29E+00	1.09E+00	1.24E+00
TCGA-05-4420	3.28E+00	1.27E+00	3.15E+00	7.19E-01	2.49E+00	1.80E+00	9.24E-01	7.68E-01
TCGA-05-4422	6.56E-01	1.69E-01	6.73E-01	5.37E-01	7.22E-01	4.16E-01	4.15E-01	3.20E-01
TCGA-05-4424	6.69E+00	2.84E+00	6.74E+00	1.77E+00	3.94E+00	2.36E+00	1.36E+00	1.37E+00
TCGA-05-4425	2.47E-01	0.00E+00	4.71E-01	2.57E-01	5.12E-01	4.43E-01	4.92E-01	3.62E-01
TCGA-05-4426	5.39E-01	2.09E-01	6.26E-01	2.64E-01	7.02E-01	5.81E-01	6.43E-01	5.27E-01
