Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS9	SBS13	SBS42
TCGA-05-4244-01A-01D-1105-08	11	0	57	130	57	0	0	0
TCGA-05-4249-01A-01D-1105-08	10	0	0	213	149	0	0	0
TCGA-05-4250-01A-01D-1105-08	5	31	0	219	145	0	25	0
TCGA-05-4382-01A-01D-1931-08	16	116	0	1591	238	0	112	0
TCGA-05-4384-01A-01D-1753-08	2	0	0	77	83	0	0	0
TCGA-05-4389-01A-01D-1265-08	24	52	160	0	18	0	38	0
TCGA-05-4390-01A-02D-1753-08	7	0	0	489	182	0	0	0
TCGA-05-4395-01A-01D-1265-08	6	52	0	124	103	0	55	0
TCGA-05-4396-01A-21D-1855-08	4	0	0	175	144	0	0	0
TCGA-05-4397-01A-01D-1265-08	0	79	0	488	331	0	102	0
TCGA-05-4398-01A-01D-1265-08	20	61	0	520	248	0	54	0
TCGA-05-4402-01A-01D-1265-08	0	44	0	0	50	0	60	0
TCGA-05-4403-01A-01D-1265-08	16	0	0	51	96	0	0	0
TCGA-05-4405-01A-21D-1855-08	11	0	0	282	181	0	0	0
TCGA-05-4410-01A-21D-1855-08	6	83	0	837	313	0	80	0
TCGA-05-4415-01A-22D-1855-08	0	0	0	157	89	0	0	0
TCGA-05-4417-01A-22D-1855-08	5	0	0	233	109	0	0	0
TCGA-05-4418-01A-01D-1265-08	0	0	0	168	161	0	0	0
TCGA-05-4420-01A-01D-1265-08	0	0	0	210	150	0	0	0
TCGA-05-4422-01A-01D-1265-08	4	14	0	0	27	0	7	0
TCGA-05-4424-01A-22D-1855-08	14	54	0	576	166	0	73	0
TCGA-05-4425-01A-01D-1753-08	28	0	0	0	24	0	0	0
TCGA-05-4426-01A-01D-1265-08	12	0	17	0	26	0	0	0
TCGA-05-4427-01A-21D-1855-08	0	0	0	775	444	0	0	0
TCGA-05-4430-01A-02D-1265-08	0	0	0	217	117	0	0	0
TCGA-05-4432-01A-01D-1265-08	0	0	0	431	307	0	0	0
TCGA-05-4433-01A-22D-1855-08	21	0	0	0	24	0	0	0
TCGA-05-4434-01A-01D-1265-08	3	0	0	0	55	0	0	0
TCGA-05-5420-01A-01D-1625-08	9	0	0	42	64	0	0	0
TCGA-05-5423-01A-01D-1625-08	15	11	0	109	51	0	0	0
TCGA-05-5425-01A-02D-1625-08	0	0	0	435	274	0	0	0
TCGA-05-5428-01A-01D-1625-08	10	88	0	242	73	0	56	0
TCGA-05-5429-01A-01D-1625-08	19	5	0	0	18	0	0	0
TCGA-05-5715-01A-01D-1625-08	16	37	0	0	42	0	54	0
TCGA-35-3615-01A-01D-1040-01	7	30	0	56	31	0	17	0
TCGA-35-4122-01A-01D-1105-08	0	0	0	136	266	0	0	0
TCGA-35-4123-01A-01D-1105-08	3	0	0	245	113	0	0	0
TCGA-35-5375-01A-01D-1625-08	14	22	140	189	122	0	24	0
TCGA-38-4625-01A-01D-1553-08	9	76	0	505	97	0	60	0
TCGA-38-4626-01A-01D-1553-08	0	0	0	243	75	0	0	0
TCGA-38-4627-01A-01D-1553-08	6	0	0	0	19	0	0	10
TCGA-38-4628-01A-01D-1265-08	18	0	85	0	43	0	0	0
TCGA-38-4629-01A-02D-1265-08	6	27	0	143	148	0	16	0
TCGA-38-4630-01A-01D-1265-08	19	36	0	0	68	0	36	0
TCGA-38-4631-01A-01D-1753-08	1	0	0	655	258	0	0	0
TCGA-38-4632-01A-01D-1753-08	0	0	0	366	272	0	0	0
TCGA-38-6178-01A-11D-1753-08	10	12	68	0	0	0	0	0
TCGA-38-7271-01A-11D-2036-08	1	14	0	45	22	0	32	0
TCGA-38-A44F-01A-11D-A24D-08	4	0	0	0	14	0	0	0
TCGA-44-2655-01A-01D-1553-08	0	0	0	169	53	0	0	0
TCGA-44-2656-01A-41D-A27T-08	12	0	0	754	274	0	0	0
TCGA-44-2657-01A-01D-1105-08	15	25	0	340	111	0	26	0
TCGA-44-2659-01A-01D-0969-08	21	0	0	387	88	0	0	0
TCGA-44-2661-01A-01D-1105-08	0	0	0	0	50	0	0	0
TCGA-44-2662-01A-01D-A271-08	6	70	85	0	16	0	86	0
TCGA-44-2665-01A-01D-A271-08	10	13	0	0	31	0	6	0
TCGA-44-2666-01A-41D-A27T-08	7	5	0	0	13	0	4	13
TCGA-44-2668-01A-01D-A271-08	2	42	0	271	82	0	34	0
TCGA-44-3396-01A-01D-1553-08	21	53	0	61	61	0	48	0
TCGA-44-3398-01A-01D-1105-08	5	34	0	101	71	0	36	0
TCGA-44-3918-01A-01D-A271-08	0	0	0	869	283	0	0	0
TCGA-44-3919-01A-02D-1458-08	0	6	0	0	48	0	15	0
TCGA-44-4112-01A-31D-A27T-08	17	52	0	354	101	0	63	0
TCGA-44-5643-01A-01D-1625-08	10	14	0	0	120	0	13	0
TCGA-44-5644-01A-21D-2036-08	13	0	0	802	333	0	0	0
TCGA-44-5645-01A-51D-A27T-08	6	0	0	0	38	0	0	0
TCGA-44-6144-01A-11D-1753-08	5	0	0	154	121	0	0	0
TCGA-44-6145-01A-11D-1753-08	2	0	0	294	85	0	0	0
TCGA-44-6146-01A-31D-A27T-08	10	0	0	0	37	0	0	0
TCGA-44-6147-01A-31D-A27T-08	4	0	0	101	48	0	0	0
TCGA-44-6148-01A-11D-1753-08	0	0	0	0	8	0	0	0
TCGA-44-6774-01A-21D-1855-08	0	0	0	278	83	0	0	0
TCGA-44-6775-01A-31D-A27T-08	0	0	0	0	84	0	0	0
TCGA-44-6776-01A-11D-1855-08	0	0	0	144	92	0	0	0
TCGA-44-6777-01A-11D-1855-08	8	59	0	212	143	0	45	0
TCGA-44-6778-01A-11D-1855-08	0	0	0	286	188	0	0	0
TCGA-44-6779-01A-11D-1855-08	18	9	0	48	45	0	0	0
TCGA-44-7659-01A-11D-2063-08	0	0	0	105	74	0	0	0
TCGA-44-7660-01A-11D-2063-08	0	0	0	175	244	0	37	0
TCGA-44-7661-01A-11D-2063-08	1	24	0	167	93	0	49	0
TCGA-44-7662-01A-11D-2063-08	0	39	0	407	210	0	48	0
TCGA-44-7667-01A-31D-2063-08	21	0	0	357	187	0	0	0
TCGA-44-7669-01A-21D-2063-08	0	0	0	310	241	0	0	0
TCGA-44-7670-01A-11D-2063-08	6	82	0	868	245	0	109	0
TCGA-44-7671-01A-11D-2063-08	0	0	0	130	154	0	0	0
TCGA-44-7672-01A-11D-2063-08	0	0	0	113	79	0	0	0
TCGA-44-8117-01A-11D-2238-08	14	0	0	670	229	0	0	0
TCGA-44-8119-01A-11D-2238-08	17	0	0	458	284	0	0	0
TCGA-44-8120-01A-11D-2238-08	3	0	0	525	203	0	0	0
TCGA-44-A479-01A-31D-A24D-08	3	0	0	265	100	0	0	0
TCGA-44-A47A-01A-21D-A24D-08	12	32	0	55	98	0	70	0
TCGA-44-A47B-01A-11D-A24D-08	11	0	0	0	49	0	0	0
TCGA-44-A47G-01A-21D-A24D-08	10	11	52	0	15	0	10	0
TCGA-44-A4SS-01A-11D-A24P-08	0	26	0	302	213	0	46	0
TCGA-44-A4SU-01A-11D-A24P-08	3	0	0	70	111	0	0	0
TCGA-49-4486-01A-01D-1265-08	0	52	0	0	81	0	78	0
TCGA-49-4487-01A-21D-1855-08	5	26	125	197	38	0	39	0
TCGA-49-4488-01A-01D-1753-08	2	24	0	257	63	0	15	0
TCGA-49-4490-01A-21D-1855-08	7	8	0	0	42	0	8	0
TCGA-49-4494-01A-01D-1265-08	13	0	65	111	41	0	0	0
TCGA-49-4501-01A-01D-1265-08	21	13	0	0	38	0	0	0
TCGA-49-4505-01A-01D-1931-08	19	0	0	154	97	0	0	0
TCGA-49-4506-01A-01D-1265-08	1	0	0	65	73	0	0	0
TCGA-49-4507-01A-01D-1265-08	15	29	0	93	84	0	24	0
TCGA-49-4510-01A-01D-1265-08	0	0	0	21	43	0	0	0
TCGA-49-4512-01A-21D-1855-08	11	0	0	0	44	0	0	0
TCGA-49-4514-01A-21D-1855-08	8	59	0	154	126	0	59	0
TCGA-49-6742-01A-11D-1855-08	8	89	0	0	94	84	72	0
TCGA-49-6743-01A-11D-1855-08	2	122	0	388	309	0	115	0
TCGA-49-6744-01A-11D-1855-08	0	0	0	191	86	0	0	0
TCGA-49-6745-01A-11D-1855-08	18	49	0	0	52	0	48	0
TCGA-49-6761-01A-31D-1945-08	8	51	0	68	75	0	40	0
TCGA-49-6767-01A-11D-1855-08	1	0	0	399	183	0	0	0
TCGA-49-AAQV-01A-11D-A397-08	3	17	0	0	39	0	27	0
TCGA-49-AAR0-01A-21D-A397-08	4	0	0	74	97	0	0	0
TCGA-49-AAR2-01A-11D-A397-08	5	0	0	363	114	0	0	0
TCGA-49-AAR3-01A-11D-A410-08	4	0	0	71	95	0	0	0
TCGA-49-AAR4-01A-12D-A410-08	0	60	0	409	171	0	62	0
TCGA-49-AAR9-01A-21D-A410-08	7	0	0	563	221	0	0	0
TCGA-49-AARE-01A-11D-A410-08	0	0	0	1169	475	0	0	0
TCGA-49-AARN-01A-21D-A410-08	0	136	0	256	0	524	0	0
TCGA-49-AARO-01A-12D-A410-08	0	0	0	619	108	0	0	0
TCGA-49-AARQ-01A-11D-A410-08	5	52	0	602	160	0	54	0
TCGA-49-AARR-01A-11D-A410-08	1	0	0	0	2	0	0	0
TCGA-4B-A93V-01A-11D-A397-08	3	0	0	86	76	0	0	0
TCGA-50-5044-01A-21D-1855-08	2	54	0	0	41	0	73	0
TCGA-50-5045-01A-01D-1625-08	0	0	0	308	58	0	0	0
TCGA-50-5049-01A-01D-1625-08	0	0	231	636	129	0	0	0
TCGA-50-5051-01A-21D-1855-08	7	0	0	78	54	0	0	0
