Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-05-4244-01A-01D-1105-08	151	52	13	35	4
TCGA-05-4249-01A-01D-1105-08	223	57	41	44	7
TCGA-05-4250-01A-01D-1105-08	223	68	64	35	35
TCGA-05-4382-01A-01D-1931-08	1650	37	249	65	72
TCGA-05-4384-01A-01D-1753-08	81	27	13	22	19
TCGA-05-4389-01A-01D-1265-08	79	32	101	49	31
TCGA-05-4390-01A-02D-1753-08	510	68	16	48	36
TCGA-05-4395-01A-01D-1265-08	143	18	119	34	26
TCGA-05-4396-01A-21D-1855-08	182	39	22	39	41
TCGA-05-4397-01A-01D-1265-08	484	248	189	36	43
TCGA-05-4398-01A-01D-1265-08	506	121	109	70	97
TCGA-05-4402-01A-01D-1265-08	0	39	115	0	0
TCGA-05-4403-01A-01D-1265-08	59	29	8	56	11
TCGA-05-4405-01A-21D-1855-08	288	79	32	57	18
TCGA-05-4410-01A-21D-1855-08	843	189	178	54	55
TCGA-05-4415-01A-22D-1855-08	161	48	9	19	9
TCGA-05-4417-01A-22D-1855-08	235	58	8	25	21
TCGA-05-4418-01A-01D-1265-08	161	94	18	27	29
TCGA-05-4420-01A-01D-1265-08	218	77	21	30	14
TCGA-05-4422-01A-01D-1265-08	13	0	26	13	0
TCGA-05-4424-01A-22D-1855-08	595	92	140	48	8
TCGA-05-4425-01A-01D-1753-08	0	0	0	52	0
TCGA-05-4426-01A-01D-1265-08	9	6	7	27	6
TCGA-05-4427-01A-21D-1855-08	780	190	76	59	114
TCGA-05-4430-01A-02D-1265-08	218	74	23	19	0
TCGA-05-4432-01A-01D-1265-08	419	195	34	46	44
TCGA-05-4433-01A-22D-1855-08	0	0	0	45	0
TCGA-05-4434-01A-01D-1265-08	0	26	14	18	0
TCGA-05-5420-01A-01D-1625-08	48	19	8	32	8
TCGA-05-5423-01A-01D-1625-08	118	0	24	44	0
TCGA-05-5425-01A-02D-1625-08	432	187	50	40	0
TCGA-05-5428-01A-01D-1625-08	236	0	148	25	60
TCGA-05-5429-01A-01D-1625-08	0	0	7	35	0
TCGA-05-5715-01A-01D-1625-08	14	0	99	36	0
TCGA-35-3615-01A-01D-1040-01	52	0	46	18	25
TCGA-35-4122-01A-01D-1105-08	128	174	49	25	26
TCGA-35-4123-01A-01D-1105-08	245	75	16	25	0
TCGA-35-5375-01A-01D-1625-08	226	143	50	50	42
TCGA-38-4625-01A-01D-1553-08	548	0	163	36	0
