Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,30.9%,47.56%,195.45%,40.37%,102.52,0.4093,3.7795,0.156,0.881,0.762,-0.025
3,1.0,0.99,NO,N/A,25.32%,44.25%,194.7%,38.33%,99.21,0.355,3.7513,0.116,0.861,0.821,0.046
4,0.96,0.87,YES,5.42e-01,24.08%,43.07%,191.25%,37.56%,97.23,0.3412,3.2466,0.111,0.758,0.827,0.213
5*,0.87,0.68,YES,Most Stab Sigs,23.34%,42.53%,191.15%,37.19%,97.09,0.3383,3.3245,0.108,0.749,0.833,0.236
6,0.69,0.09,NO,N/A,22.82%,42.25%,191.9%,36.3%,97.37,0.3353,3.3868,0.105,0.761,0.837,0.224
7,0.59,-0.23,NO,N/A,22.4%,42.15%,192.0%,36.23%,97.51,0.3326,3.4183,0.104,0.77,0.84,0.201
8,0.47,-0.31,NO,N/A,22.23%,42.28%,190.8%,36.41%,97.16,0.3291,3.2624,0.102,0.758,0.843,0.206
9,0.42,-0.3,NO,N/A,21.58%,41.41%,190.2%,35.69%,96.66,0.3262,3.2868,0.099,0.728,0.847,0.263
10,0.35,-0.31,NO,N/A,21.33%,41.26%,189.05%,35.32%,96.02,0.3208,3.323,0.097,0.694,0.852,0.323
11,0.31,-0.26,NO,N/A,20.95%,40.84%,188.15%,34.61%,95.81,0.319,3.1654,0.095,0.688,0.855,0.315
12,0.28,-0.22,NO,N/A,20.68%,40.35%,188.15%,34.41%,95.74,0.3151,3.2003,0.093,0.685,0.859,0.323
13,0.26,-0.08,NO,N/A,20.22%,40.27%,186.65%,33.88%,95.04,0.3129,3.1629,0.09,0.654,0.863,0.362
14,0.24,-0.21,NO,N/A,19.89%,39.3%,183.95%,33.56%,93.62,0.3075,2.92,0.088,0.585,0.866,0.38
15,0.22,-0.24,NO,N/A,19.78%,39.19%,182.7%,33.16%,93.06,0.3055,2.9147,0.087,0.564,0.869,0.394
16,0.22,-0.21,NO,N/A,19.31%,38.41%,188.75%,32.4%,95.95,0.3037,3.1871,0.084,0.689,0.873,0.328
17,0.19,-0.16,NO,N/A,19.15%,38.41%,181.5%,31.85%,92.56,0.2999,2.6817,0.08,0.544,0.879,0.426
18,0.2,-0.13,NO,N/A,18.71%,38.54%,178.45%,31.64%,91.22,0.297,2.8135,0.078,0.507,0.883,0.437
19,0.2,-0.11,NO,N/A,18.34%,37.53%,180.6%,30.17%,92.06,0.2954,2.9269,0.075,0.527,0.888,0.437
20,0.19,-0.15,NO,N/A,18.15%,36.34%,185.05%,29.6%,95.11,0.2907,3.0675,0.073,0.679,0.89,0.298
